,content
25,The Union HRD Minister has praised Tamil Nadu government's efforts in implementing various education policies.
26,Government has taken various measures to promote Sanskrit language-HRD Minister
27,The government promotes the development of Sanskrit language.
28,Providing financial assistance to Adarsh Sanskrit Mahavidyalayas / Shodha Sansthans.
29,Award of merit scholarships to students of Sanskrit Pathasala to College level.
30,Financial assistance to NGOs / Higher Educational Institutions of Sanskrit for various Research Projects / Programmes.
31,Retired eminent Sanskrit scholars are engaged under the Shastra Chudamani scheme for teaching.
32,"Sanskrit is also taught through Non-formal Sanskrit Education (NFSE) programme, by setting up Non-Formal Sanskrit learning centres, in reputed institutions like Indian Institutes Technology, Ayurveda institutions, Modern Colleges and Universities."
33,Presidential awards for Sanskrit Language are awarded annually to 16 senior scholars and to 5 young scholars.
34,"Financial Assistance for Publication, Reprint of rare Sanskrit books."
35,Ashtaadashi containing eighteen Projects for sustaining the growth of Sanskrit has been implemented.
36,Development of Sanskrit Dictionary to school students.
37,Development of E-content in Sanskrit language for online professional development programme for teachers at secondary stage.
38,21-day refresher course for Sanskrit teachers of Andaman and Nicobar Islands at Upper primary stage.
39,Development of Sanskrit workbook “Abhyasavan Bhava” at Secondary stage.
40,Development of various e-contents for teachers and students
41,Ongoing project: Development of a compendium of ancient Indian education thoughts in Sanskrit.
42,"This information was given by the Union Minister for Human Resource Development, Shri Ramesh Pokhriyal ‘Nishank’ in a written reply in the Rajya Sabha today."
43,Various Steps have been taken to remove gender disparity at all levels of schools-HRD Minister
44,Gender Parity Index at various levels of school education shows equal participation of girls. 
45, (Source: UDISE+ 2018-19 provisional)
46,The number of girls at all levels of school education is more than the number of boys.
47,"To bring gender parity in School Education, various interventions have been targeted for girls under SamagraShiksha."
48,"In order to improve access to education for girls from disadvantaged groups, more than 5930 residential schools for them have been sanctioned under SamagraShiksha."
49,"This information was given by the Union Minister for Human Resource Development, Shri Ramesh Pokhriyal ‘Nishank’ in a written reply in the Rajya Sabha today."
50,"Union HRD Minister felicitates Anju Rani, a young education activist in New Delhi"
51,"Anju Rani, a 17-year-old social activist was felicitated by the minister of human resources development."
52,"The youth will drive the future of India in the coming years and role of the youth in nation building is crucial, as they have power to change the mindset of people."
53,Anju is an active member of society and has contributed to nation building.
54,The Ministry of Human Resource Development is promoting young women achievers who have made significant contribution to bring a social change in society.
55,Shalini Kumari designed a walker with adjustable legs for disadvantaged/elder people at the age of 12 and received an award for it at 13.
56,"#Fearlessfemales - The young ones! At the age of 12, Bharti Kumari became a real teacher by teaching English, Hindi and Maths to children, aged 4 to 10.#IWD2020 #SheInspiresUs #BetiPadhaoDeshBadhao pic.twitter.com/4hpS4zogSR"
57,"Maidaibahun Majaw, a class 4 student, built an anti-bullying app."
58,Anju Verma started NGO Buland Udaan to end child labour at 17.
59,Union HRD Minister plants a sapling in memory of Chipko Activist Gaura Devi as part of International Women’s Day Celebrations
60,Union Human Resource Development Minister and senior women officers planted a sapling in memory of Gaura Devi.
61,Shri Pokhriyalsaid that Gaura Devi was a simple woman from the rural environment who dedicated her life to protecting the environment.
62,The Ministry of Human Resource Development is celebrating Women's Week from 1st March to 8th March 2020.
63,Union HRD Minister felicitates women employees of HRD ministry at International Women’s Day Celebration programme in New Delhi today
64,Union Human Resource Development Minister (HRD) felicitated women employees working in the Ministry of HRD.
65,Shri Pokhriyal and Swami Vivekananda are discussing the role of women in politics and society.
66,"The HRD Minister, Shri Narendra Modi, has said that the government is taking various policy measures for the empowerment of girls and women through education."
67,"Shri Dhotre believes that when women's potential is unleashed, it benefits the society."
68,The HRD Minister Ramesh Pokhriyal and MoS HRD Sanjay Dhotre visited the female employees of the Ministry to felicitate them.
69,UGC has developed Jeevan Kaushal Curriculum to upgrade life skills of undergraduate students-HRD Minister
70,The life skills curriculum for undergraduate students at UGC is available at https://www.ugc.ac.in/e-book/SKILL%20ENG/mobile/index.html.
71,The Jeevan Kaushal curriculum is suggestive. The UGC has requested Vice-Chancellors of all Universities to consider introducing it in their institutions.
72,The objectives of the Jeevan Kaushal curriculum are: 
73,(i) to enhance one’s ability to be fully self aware by helping oneself to overcome all fears and insecurities and to grow fully from inside out and outside in; 
74,(ii) to increase one’s knowledge and awareness of emotional competency and emotional intelligence at place of study/work; 
75,(iii) to provide opportunity for realising one’s potential through practical experience; 
76,(iv) to develop interpersonal skills and adopt good leadership behaviour for empowerment of self and others; 
77,"(v) to set appropriate goals, manage stress and time effectively; and "
78,(vi) to manage competency-mix at all levels for achieving excellence with ethics.
79,"The information was given by the Union Minister for Human Resource Development, Shri Ramesh Pokhriyal ‘Nishank’ in a written reply in the Lok Sabha today."
80,"Various steps have been taken by the Government to promote good quality, accessible and affordable education across the country-Shri Ramesh Pokhriyal ‘Nishank’"
81,The Department of School Education and Literacy has launched the Samagra Shiksha - an Integrated Scheme for School Education as a Centrally Sponsored Scheme with effect from the year 2018-19.
82,Samagra Shiksha aims to improve quality of education at all levels of schooling.
83,The major features of Samagra Shiksha are as under:-
84,Provision for up-gradation of schools up-to senior secondary level and strengthening of school infrastructure as per norms.
85,The amount of grant for composition school grant has been increased.
86,"Annual Grant for sports equipment for primary schools: Rs. 5000 for Primary Schools, Rs.10,000 for upper primary schools and up to Rs. 25,000 each for secondary and senior secondary schools."
87,"Annual grant for Library at the cost of Rs. 20,000/- for composite Senior Secondary school (Class 1st to 12th)."
88,"The allocation for Children with Special Needs (CwSN) increased from 3,000 to 3,500 per child per annum. A stipend of Rs. 200 per month for CWSN girls to be provided from classes I to XII."
89,Allocation for uniforms for children increased from Rs. 400 to Rs. 600 per child per annum.
90,Allocation for textbooks has been increased from 150/250 to Rs. 250/400 per child per annum.
91,Upgradation of Kasturba Gandhi Balika Vidyalayas (KGBVs) from Class 6-8 to Class 6-12.
92,Strengthening Teacher Education Institutions like SCERTs and DIETs to improve the quality of teachers with SCERT as the nodal institution for in-service and pre-service teacher training.
93,"Enhanced use of digital technology in education through smart classrooms, digital boards and DTH channels."
94,"The information was given by the Union Minister for Human Resource Development, Shri Ramesh Pokhriyal ‘Nishank’ in a written reply in the Lok Sabha today."
95,Several Steps have been taken by the Ministry of Human Resource Development to develop courses and curricula for Apprenticeship/Internship embedded degree/diploma programmes-HRD Minister
96,The Ministry of Human Resource Development (MHRD) is working with sector skill councils to develop courses and curricula for Apprenticeship/Internship embedded degree/diplomaprogrammes.
97,"MHRD, SSCs and other bodies are promoting the introduction of Apprenticeship/Internship embedded degree/diploma programmes. Some of the sectors like Logistics and Retail have already started degree apprenticeship programmes. Media & Entertainment Sector Skill Council (MESC) signed MoU with 150 institutions to conduct skill oriented BSc., BBA, BVoc courses."
98,"The information was given by the Union Minister for Human Resource Development, Shri Ramesh Pokhriyal ‘Nishank’ in a written reply in the Lok Sabha today."
99,Ministry of HRD to celebrate International Women’s Day in Schools and Colleges Across the Country – Shri Ramesh Pokhriyal ‘Nishank’
100,Girl Students to be Designated as Class Monitors in Schools During Part of the Ensuing Academic SessionWomen Helpline Number to be Displayed Prominently in Colleges and UniversitiesGovernment has Taken up Game Changing Initiatives for Education of Girls: HRD Minister
101,The Ministry of Human Resource Development will celebrate International Women’s Day on 1st March as part of its campaign.
102,The government has taken several initiatives for the education of the girl child. The Gross Enrolment Ratio of girls across all levels of education is higher than boys.
103,The HRD Ministry has decided to take up various activities to encourage female students to excel in their lives and establish that their gender is not a hindrance to excellence. UGC will conduct round table discussions and take up several other programmes on women empowerment in Central Universities.
104,"Shri Nishank, the Education Minister, has instructed the educational institutions to focus more on female students as class monitors."
105,Girls of class VI to XII belonging to Government schools get self-defence training. A Self-Defence Olympiad will be organised for girls at school level on the lines of Yoga Olympics.
106,The Culture and Theatre Clubs in Colleges and Universities will be encouraged to organise shows on women's issues.
107,Shri Nishank has announced special morning assemblies for girl students to motivate them.
108,"The schools are being asked to honor women faculty members and staff for their distinguished service for the organization. Educational institutions will organize essay writing contests on prominent women of the district where they are located and seminars on gender bias and stereotyping, gender equality and women’s right will be held in higher educational institutions."
109,Ministry of Human Resources Development (HRD) is working to provide secure and conducive environment for girls’ education.
110,Beside this Ministry of HRD has taken various steps to promote education among girls.
111,The number of Kasturba Gandhi Balika Vidyalayas (KGBVs) for disadvantaged girls from upper primary level to senior secondary level has increased.
112,The University Grants Commission and WCD Ministry have decided to establish ten chairs in different universities in the name of Eminent Women personalities. Women Studies Centres with special focus on marginalised and disadvantaged women are being set up in Universities and Colleges.
113,"For supporting single girl child in higher education , Swami Vivekananda Single Girl Child Scholarship for Research in Social Science was started in 2014-15."
114,UGC has provided support for eight exclusive women universities.
115,The All India Council for Technical Education is implementing the PRAGATI scholarship scheme for assistance of girls pursuing technical education.
116,"The Government has decided to increase female enrolment in B. Tech. Programmes of IITs from 8% to 14% in 2018-19, 17% in 2019-20 and 20% in 2020-21."
117,The Government has decided to increase female enrolment from 14% to 20% over a period of 2-4 years.
118,"Accordingly, 835 supernumerary seats were created in IITs in the academic year 2018-19 and 1122 seats in 2019-20. 673 seats were added in NITs and IIEST in the same year."
119,The National Centre of Seismology monitors the earthquake activity in the country. Hydro-Power Project Authorities have placed seismic systems in and around dam sites to monitor the seismicity.
120,"The Central Water Commission, Ministry of Jal Shakti, is nodal agency for carrying out periodic inspection of dams to ensure their safety."
121,A total 18 earthquakes with magnitude 3.0 and above have been recorded by NCS network in the close vicinity of major dams during the last three years.
122,There are earthquakes around dams.
123,There are some triggered events in active tectonics regime in India.
124,The major dams in India have been designed and constructed taking into consideration the seismic vulnerability of the region.
125,"This information was given by Dr Harsh Vardhan, Minister of Earth Sciences, Science & Technology and Health & Family Welfare and in a written reply in the Lok Sabha today."
126,"Indian National Centre for Ocean Information Services (INCOIS) , Hyderabad celebrates Women’s Day"
127,"Indian National Centre for Ocean Information Services (INCOIS) celebrated Women's Day. Smt. Swati Lakra, IPS, Inspector General of Police was the Chief Guest and Guest Speaker at the function."
128,As part of the celebrations Rangoli competition for women employees of INCOIS was held along with a varied cultural programme presented by the women staff of INCOIS.
129,Cabinet approves Scheme for Promotion of manufacturing of Electronic Components and Semiconductors
130,The Union Cabinet has approved to offer financial incentive of 25% of capital expenditure for the manufacturing of electronic products.
131,The scheme will help offset the disability for domestic manufacturing of electronic components and semiconductors in order to strengthen the electronic manufacturing ecosystem in the country.
132,"The total cost of the scheme is approximately Rs.3,285 crore, which includes the incentive outlay of approximately Rs.3,252 crore and the administrative expense to the tune of Rs.32 crore."
133,The proposal aims to develop electronic components manufacturing ecosystem in the country.
134,Development of electronic components manufacturing ecosystem in the country and deepening of Electronics value chain.
135,"New investments in Electronics Sector to the tune of at leastRs. 20,000 crore."
136,The scheme to support manufacturing units is expected to create 6.00 million jobs.
137,Reducing dependence on import of components by large scale domestic manufacturing that will also enhance the digital security of the nation.
138," The vision of National Policy on Electronics 2019 (NPE 2019) notified on 25.02.2019 is to position India as a global hub for Electronics System Design and Manufacturing (ESDM) by encouraging and driving capabilities in the country for developing core components, including, chipsets, and creating an enabling environment for the industry to compete globally."
139, A vibrant electronic components manufacturing ecosystem is vital for the overall long-term and sustainable growth of electronics manufacturing in India and essential to achieve net positive Balance of Payments (BoP).
140,"The government proposes to provide an incentive of 25% on capital expenditure on plant, machinery, equipment, associated utilities and technology for industrial units making investment for manufacturing of electronic components, semiconductors, ATMP, specialized sub-assemblies and capital goods for these items."
141,Cabinet approves Modified Electronics Manufacturing Clusters (EMC 2.0) Scheme
142,"The Union Cabinet chaired by the Prime Minister, Shri Narendra Modi, has approved financial assistance for the Modified Electronics Manufacturing Clusters (EMC2.0)."
143,The Modified Electronics Manufacturing Clusters (EMC 2.0) Scheme would support setting up of both Electronics Manufacturing Cluster (EMCs) and Common Facility Centers (CFCs). EMCs and CFCs would focus on developing infrastructure and providing common facilities for the ESDM units.
144,"The proposed EMC 2.0 Scheme is proposed to be funded by financial assistance of Rs. 3,762.25 crore and administrative and management expense of RS. 37.25 crn. over 8 years."
145,The Scheme aims to create infrastructure base for electronic industry to attract investment in ESDM sector and lead to greater employment opportunities.
146,Availability of ready infrastructure and Plug & Play facility for attracting investment in electronics sector:
147,New investment in electronics sector
148,Jobs created by the manufacturing units;
149,Revenue in the form of taxes paid by the manufacturing units 
150,"The Ministry of Electronics and Information Technology (MeitY) notified Electronics Manufacturing Clusters (EMC) Scheme. Under EMC scheme, 20 Greenfield EMCs and 3 Common Facility Centres (CFCs) measuring an area of 3565 acres with project cost of Rs. 3898 Crores have been approved in 15 states across the country."
151,There is a need for continuation of such scheme in modified form for further strengthening the infrastructure base for electronics industry in the country.
152,India's electronics production has increased by 25% in the last three years.
153,Cabinet approves Production Linked Incentive Scheme for Large Scale Electronics Manufacturing
154,The Union Cabinet has approved the Production Incentive Scheme for Large Scale Electronics Manufacturing.
155,"The Scheme shall extend an incentive of 4% to 6% on incremental sales (over base year) of goods manufactured in India and covered under target segments, to eligible companies, for a period of five (5) years subsequent to the base year as defined."
156,"The proposed scheme is likely to benefit 5-6 major global players and few domestic champions, in the field of mobile manufacturing and Specified Electronics Components and bring in large scale electronics manufacturing in India."
157," The total cost of the proposed scheme is approximately INR 40,995 crore (Rupees Forty Thousand Nine Hundred and Ninety-Five Crore Only) which includes an incentive outlay of approximately INR 40,951 crore (Rupees Forty Thousand Nine Hundred and Fifty-one Crore Only) and administrative expenses to the tune of INR 44 crore (Rupees Forty-Four Crore Only)."
158,"The government's flagship scheme aims to create 8.00,000 direct and indirect jobs."
159," The production of mobile phones in the country has gone up significantly from around INR 18,900 crore (USD 3 Billion) in 2014-15 to INR 1,70,000 crore (USD 24 Billion) in 2018-19 and the domestic demand is almost completely being met out of domestic production."
160," By integrating “Assemble in India for the world” into “Make in India”, India can significantly increase manufacturing output."
161,The electronic components market in India is expected to grow at a CAGR of 20% in the coming years.
162,Elephant deaths by train accidentsshowing a declining trend
163,Elephants deaths by train accidents have been reduced in the recent years.
164,Zonal Railways took preventive measures to prevent the killing of elephants.
165,Imposition of permanent and temporary speed restrictions in identified elephant corridors.
166,Provision of signage board to warn loco pilots about identified elephant corridors.
167,Sensitization of train crew and Station Masters on a regular basis.
168,Need based clearance of vegetation on the sides of track within railway land.
169,The construction of underpasses and ramps for elephants' movement is being carried out in East Central Railway.
170,Installation of Honey Bee sound system to scare away the elephants from coming near the track.
171,Provision of fencing at isolated locations both by Railway and Forest Department.
172,Deputing Forest Department staff in Railway control offices to liaison with Railway and engagement of elephant trackers by Forest Department for timely action by alerting Station Masters and Loco Pilots.
173,Frequent coordination meetings between State Forest Department and Railway department.
174,The Supreme Court of India had issued the following directions.
175,The Railways should reduce the speed limit of trains that are passing through dense forests.
176,Railways to take steps to discontinue the movement of goods trains at night between Siliguri and Alipurduar.
177,Divert fast moving and night trains through Siliguri -Falakata route.
178,"As per the information received from States, the number of elephants killed in train accident has been showing a declining trend."
179,The State-wise and year-wise details of elephant deaths due to train hits is as follows:
180,Elephant Casualties in Train Accidents from 2016-17 to 2018-19
181,Cabinet approves signing and ratifying of the Extradition Treaty between India and Belgium
182,"The Union Cabinet chaired by the Prime Minister, Shri Narendra Modi has approved the signing and ratifying of the Extradition Treaty between the Republic of India and the Kingdom of Belgium."
183, The following are the salient features of the Treaty:-
184,"Each Party agrees to extradite to the other any person found in its territory, who is accused or convicted of an extraditable offence in the territory of the other Party."
185,"An extraditable offence is an offence punishable under the laws of both the Parties with imprisonment for a period of one year or more severe punishment. Offences relating to taxation, or revenue or is one of a fiscal character fall within the scope of this Treaty."
186,"Under the Treaty, extradition shall be refused if:"
187,"The Treaty specifies certain offences, which will not be considered political offences."
188,the offence for which extradition is requested is a military offence
189,"the request for prosecution has been made for the purpose of prosecuting or punishing the person on account of his race, sex, religion, nationality or political opinion."
190,the prosecution of enforcement of sentence has become time barred.
191,The extradition of a foreign national is discretionary.
192, The Treaty inter-alia also contains provisions on:
193,Assurance in case of Capital punishment (Article 3 (7))
194,Handing over of Property (Article 18)
195,Protection of Personal Data (Article 21)
196,Expenses incurred in extradition (Article 22)
197,Mutual legal assistance relating to extradition (Article 25)
198,Entry into Force Amendment and Termination of the Treaty (Article 26)
199,The Treaty on Extradition of Criminal Offenders from India to Belgium will enter into force after ratification.
200,The new Extradition Treaty between India and Belgium will replace the pre-Independence Extraditions Treaty between Great Britain and Belgium of 1901.
201,"Finance Ministry issues Taxation and other Laws (Relaxation of Certain Provisions) Ordinance, 2020 today"
202,The government has brought in an Ordinance on 31.03.2020 to extend various time limits under the Taxation and Benami Acts.
203,The World Health Organization declared the outbreak of novel strain of cytovirus as a pandemic. The government of India declared a complete lockdown in the country to contain its spread. The Union Finance Minister had announced several relief measures relating to statutory and regulatory compliance matters in view of the outbreak.
204,Some of the important features and time limits which get extended by this Ordinance are as under:- 
205,"Extension of last date of filing of original as well as revised income-tax returns for the FY 2018-19 (AY 2019-20) to 30th June, 2020."
206,"Extension of Aadhaar-PAN linking date to 30th June, 2020."
207,"The date for making investment/payment for claiming deduction under Chapter-VIA-B of IT Act has been extended to 30th June, 2020."
208,The date for making investment/construction/purchase for claiming roll over benefit/deduction in respect of capital gains under sections 54 to 54GB of the IT Act has been extended to 30th June 2020.
209,The date for commencement of operation for the SEZ units for claiming deduction under deduction 10AA of the IT Act has also extended to 30.06.2020 for the units which received necessary approval by 31.03.2020.
210,The date for passing of order or issuance of notice by the authorities under various direct taxes& Benami Law has also been extended to 30.06.2020.
211,It has provided that reduced rate of interest of 9% shall be charged for non-payment of Income-tax.
212,The declaration and payment under Vivad se Vishwas Scheme can be made up to 30.06.2020 without additional payment.
213,"Last date of furnishing of the Central Excise returns due in March, April and May 2020 has been extended to 30th June,2020."
214,"Wherever the last date for filing of appeal, refund applications etc., under the Central Excise Act, 1944 and rules made thereunder is from 20th March 2020 to 29th June 2020, the same has been extended to30th June 2020."
215,"Wherever the last date for filing of appeal, refund applications etc., under the Customs Act, 1962 and rules made thereunder is from 20th March 2020 to 29th June 2020, the same has been extended to30th June 2020."
216,"Wherever the last date for filing of appeal etc., relating to Service Tax is from 20th March 2020 to 29th June 2020, the same has been extended to30th June 2020"
217,The date for making payment to avail of the benefit under Sabka Vishwas Legal Dispute Resolution Scheme 2019 has been extended to 30th June 2020 thus giving more time to taxpayers to get their disputes resolved.
218,"An enabling section has been inserted in the CGST Act, 2017 to extend due dates for various compliances inter-alia."
219,The Ordinance has been passed by the parliament to set up a special fund for the people affected from the outbreak of Corona virus.
220,"The date for claiming deduction u/s 80G under IT Act has been extended up to 30.06.2020. Therefore, any person making donation to PM CARES Fund up to that date can also claim deduction under it."
221,Calendar for Auction of Government of India Treasury Bills
222,"The Government of India, in consultation with Reserve Bank of India, has decided to notify the amounts for the issuance of Treasury Bills for the quarter ending June 2020as under:"
223,Notified Amount for Auction of Treasury Bills 
224,The Government of India and the Reserve Bank of India will continue to have the flexibility to modify the amount and timing for auction of Treasury Bills depending upon the requirements of the Government and evolving market conditions.
225,"The auction of Treasury Bills will be held on March 27, 2018."
226,Issuance Calendar for Marketable Dated Securities for April 2020-September 2020
227,"The indicative calendar for issuing of Government dated securities for the first half of the fiscal year 2020-21 (April 1, 2020 to September 30, 2020) is as under:"
228,Calendar for Issuance of Government of India Dated Securities
229,"(April 1, 2020 to September 30, 2020)"
230,"Floating Rate Bonds for `4,000 crore"
231,"Floating Rate Bonds for `4,000 crore"
232,"Floating Rate Bonds for `4,000 crore"
233,"Floating Rate Bonds for `4,000 crore"
234,"Floating Rate Bonds for ` 4,000 crore"
235,"Floating Rate Bonds for ` 4,000 crore"
236,The auction calendar has been amended to include a non-competitive bidding scheme for retail investors.
237,"The Reserve Bank of India will continue to have the flexibility to issue different types of instruments, including non-standard maturity and Floating Rate Bonds (FRBs), depending upon the requirement of the Government of India and market conditions."
238,The Reserve Bank of India reserves the right to retain additional subscription up to  
239,"The maximum amount of money that can be invested in the security can be up to  Â£2,000."
240,"The Reserve Bank of India reserves the right to retain an additional amount uptoRs 20,000 crore under Green Shoe option."
241,The Reserve Bank of India will conduct switch auction of securities every fourth Monday of the month.
242,"The auction of dated securities will be held on March 27, 2018."
243,Finance Minister attends the 2nd Extraordinary G20 Finance Ministers and Central Bank Governors Virtual Meeting
244,Nirmala Sitharaman participated in the 2ndExtraordinary G20 Finance Ministers and Central Bank Governors (FMCBG) meeting.
245,Finance Minister appreciated the Saudi Presidency for organizing these meetings which provide opportunity to all G20 members to not only share their individual experiences but also to work in better coordination.
246,"G20 Finance Ministers and Central Bank Governors met on March 23, 2020 to discuss the evolution of the COVID-19 pandemic. G20 Leaders tasked them to deliver a G20 Action Plan in Response to CO."
247,Smt Sitaraman supports the proposed G20 Action Plan and the G20 Leaders statement on regulatory and supervisory measures.
248,Finance Minister asked IMF to review and enhance its toolkit and expand the swap line network.
249,"IMF should create a short-term liquidity swap facility, Smt. Sitharaman has said."
250,Smita Sitharaman briefly talked about COVID-19 crisis with G20 counterparts.
251,Notification No. 36/2020-CUSTOMS (N.T.)
252,"The Central Board of Indirect Taxes & Customs, being satisfied that it is necessary and expedient, makes amendments in the notification of the Government of India in the Ministry of Finance (Department of Revenue), No. 36/2001-Customs (N.T.), dated the 3rd August, 2001."
253,"In the said notification, for TABLE-1, TABLE-2, and TABLE-3 the following Tables shall be substituted, namely: -"
254,Chapter/ heading/ sub-heading/tariff item
255,Chapter/ heading/ sub-heading/tariff item
256,The benefits of entries at serial number 356 of the Notification No. 50/2017-Customs dated 30.06.2017 are being availed.
257,The benefits of entries at serial number 357 of the Notification No. 50/2017-Customs dated 30.06.2017 are being availed.
258,"(i) Silver, in any form, other than medallions and silver coins having silver content not below 99.9% or semi-manufactured forms of silver falling under sub-heading 7106 92;"
259,(ii) Medallions and silver coins having silver 
260,"content not below 99.9% or semi-manufactured forms of silver falling under sub-heading 7106 92, other than imports of such goods through post, courier or baggage."
261,Explanation.
262,"currency coins, jewellery made of silver or "
263,"(i) Gold bars, other than tola bars, bearing manufacturer’s or refiner’s engraved serial number and weight expressed in metric units;"
264,"(ii) Gold coins having gold content not below 99.5% and gold findings, other than imports of such goods through post, courier or baggage."
265,Explanation.
266,Chapter/ heading/ sub-heading/tariff item
267,"The principal notifications were published in the Gazette of India, Extraordinary, Part-II, Section-3, Sub-section (ii), vide Notification No. 36/2001-Customs (N.T.), dated the 3rd August, 2001, vide number S.O. 748 (E), and were last amended vide N.T. 1221 (E) dated 26th March, 2020."
268,There is a fake new circulating in some section of media that the Financial Year has been extended. The notification issued by the Government of India on 30th March 2020 with respect to some other amendments done in the Indian Stamp Act is being misquoted.
269,The implementation of changes to the Indian Stamp Act has been postponed to 1st July 2020.
270,Exchange Rate Notification No.35/2020 - Customs (N.T.)
271,"In exercise of the powers conferred by section 14 of the Customs Act, 1962 (52 of 1962), the Central Board of Indirect Taxes and Customs hereby makes the following amendment in the Notification of the Central Board of Indirect Taxes and Customs No.27/2020-CUSTOMS (N.T.), dated 19thMarch, 2020 with effect from 31st March, 2020, namely: -"
272,"In the SCHEDULE-I of the said Notification, for serial no. 1 and the entries relating to it shall be substituted."
273,Rate of exchange of one unit of foreign currency equivalent to Indian rupees
274,"The principal notification was published vide Notification No. 27/2020-Cus (NT) dated 19th March, 2020. It has been since amended vide Notifications No. 28/2020 -Cus dated 20th March 2020."
275,Exchange Rate Notification No. 34/2020 - Customs (N.T.)
276,"The Central Board of Indirect Taxes and Customs made amendments to notification No. 27/2020-CUSTOMS dated 19th March, 2020 with effect from 28th March 2020."
277,"In the SCHEDULE-I of the Notification No.27/2020-Customs (N.T.), dated 19th March, 2020 for serial No. 10 and 11 and the entries relating to them shall be substituted."
278,Rate of exchange of one unit of foreign currency equivalent to Indian rupees
279,Finance Minister announces Rs 1.70 Lakh Crore relief package under Pradhan Mantri Garib Kalyan Yojana for the poor to help them fight the battle against Corona Virus
280,Insurance cover of Rs 50 Lakh per health worker fighting COVID-19 to be provided under Insurance Scheme
281,80 crore poor people will to get 5 kg wheat or rice and 1 kg of preferred pulses for free every month for the next three months
282,20 crore women Jan Dhan account holders to get Rs 500 per month for next three months
283,Increase in MNREGA wage to Rs 202 a day from Rs 182 to benefit 13.62 crore families
284,"An ex-gratia of Rs 1,000 to 3 crore poor senior citizen, poor widows and poor disabled"
285,"Government to front-load Rs 2,000 paid to farmers in first week of April under existing PM Kisan Yojana to benefit 8.7 crore farmers"
286,Central Government has given orders to State Governments to use Building and Construction Workers Welfare Fund to provide relief to Construction Workers
287,The Union Finance Minister Smt. Niramla Sitharaman announced a relief package of Rs 1.70 Lakh Crore for the poor to help them fight the fight against Corona Virus.
288,The minister of state for finance and corporate affairs was present.
289,I.I.C. is an insurance scheme for health workers fighting COVID-19 in government hospitals and health care centres.
290,"Safai karamcharis, ward-boys, nurses, ASHA workers, paramedics, technicians, doctors and other health workers will be covered by a Special insurance Scheme."
291,"Any health professional, who while treating Covid-19 patients, meet with some accident, then he/she would be compensated with an amount of Rs 50 lakh under the scheme."
292,"All government health centres, wellness centres and hospitals of Centre and States will be covered under this scheme. Around 22 lakh health workers will be provided insurance cover to fight this pandemic."
293,II. PM Garib Kalyan Ann (अन्न  Yojana
294,Government of India would not allow poor families to suffer due to non-availability of foodgrains in the next three months.
295,The government of India plans to provide health insurance to 1.80 crore people.
296,They will be provided with double their current entitlement over next three months.
297,This additionality would be free of cost.
