,content
63,"Dr. Harsh Vardhan expressed concern over the surge in number of cases and thehigh positivity rate in the north, central, north east, south east, north west and south east districts of Delhi. He wants mandatory testing of all RAT negative people if they develop ILI/SARI symptoms afterwards."
64,"Dr. Sujeet Singh, Director, National Centre for Disease Control (NCDC) informed everybody present on the trajectory of COVID in the various districts of Delhi and micro-analysis of deaths in the hospitals of Delhi."
65,Delhi administration has been warned by experts about possible surges due to festive season and facilitation of inter-state transport. Anil Baijal hopes the IEC campaigns will be successful in changing public behaviour towards COVID.
66,Sh. SatyendarJain has asked the Centre to increase the number of ICU beds in AIIMS New Delhi and other Central Hospitals.
67,"Sh. Rajesh Bhushan, Union Health Secretary, has asked the Delhi Administration to shift critical care patients requiring ICU beds to the Defence Medical Hospital Facility in Dhaula-Kuan."
68,"Sh. Vijay Kumar Dev, Chief Secretary, Delhi attended the meeting virtually from his office. Smt. Arti Ahuja, Addl. Secretary (Health), senior officials of the Ministry were also present in the meeting."
69,India maintains a steady trajectory of sustained fall in Active Cases
70,"27 States/UTs have less than 20,000 Active Cases10 States account for 78% of total Active Cases"
71,The number of positive cases in India has declined for the 7th consecutive day.
72,"Following the national trend, 27 States/UTs have less than 20,000 active cases."
73,10 States/UT account for more than half of the active cases in the country.
74,The number of active cases is declining. The number of recovered cases is increasing. The gap between the Recovered cases and the Active ones has reached nearly 70% and the national recovery rate has improved to 92.20%.
75,"The number of COVID patients recovering and being discharged has reached 55,331 in the last 24 hours. There are 50,210 new confirmed cases."
76,82% of the new recovered cases are observed to be concentrated in 10 States/UTs.
77,"Maharashtra, Kerala and Karnataka have contributed the maximum to the single day recoveries."
78,"There were 50,210 new confirmed cases in the last 24 hours."
79,The majority of new cases are found in 10 States and UTs.
80,"Kerala continues to be the State reporting a very high number of new cases with more than 8,000 cases followed by Delhi with more than 6,000 cases."
81,704 case fatalities have been reported in the past 24 hours.
82,Ten States and UT account for more than 80% of the new deaths. Maharashtra has the highest number of new fatalities.
83,Dr. Harsh Vardhan reviews COVID19 preparedness and measures for ensuring COVID Appropriate Behaviour in Karnataka.
84,“Following COVID appropriate behaviour is the key to combating the pandemic till we have a vaccine ”
85,"Dr. Harsh Vardhan, Union Minister of Health & Family Welfare, held a meeting to review COVID-19 preparedness and measures for ensuring COVID Appropriate Behaviour with Dr. K.Sudhakar, Health and Medical Education Minister, Karnataka and other senior officials."
86,India will soon be completing 10 months of progress in combating Corona.
87,"The virus poses potential threats to the country. Therefore, it is important to follow COVID Appropriate Behaviour to cut the transmission of virus."
88,Karnataka has the second highest cumulative cases after Maharashtra. The case fatality rate is lower than the national average.
89,"Dr. Harsh Vardhan is concerned about the rise in the number of cases of HIV/Aids in urban Bengaluru, Mysuru, Bellari, Dakshin Kannada, Hassan, Belagavi and Hassan districts in Karnataka."
90,The Union Health Minister met with the Dy. Commissioners and District Medical Directors to discuss the steps taken to contain COVID-19.
91,The number of new cases and deaths in Karnataka have declined significantly but still needs to bring the parameters to pre July levels. 
92,"Dr S K Singh, Director NCDC made a presentation on the current status of COVID19 in the State."
93,"Smt. Arti Ahuja, Addl. Secretary (Health), Dr Sunil Kumar, DGHS, Shri Lav Agarwal, Joint Secretary and other senior officials attended a meeting."
94,Cabinetapproves Memorandum of Understanding between India and United Kingdom on cooperation in the field of Medical Products Regulation
95,"The Union Cabinet, chaired by the Prime Minister, Shri Narendra Modi has given its approval for signing a Memorandum of Understanding (MoU) between the Central Drugs Standard Control Organization (CDSCO), India and the United Kingdom Medicines and Healthcare Products Regulatory Agency (UK MHRA) on cooperation in the field of medical Product Regulation."
96,The Central Drugs Standard Control Organization (CDSCO) and the United Kingdom Medicines and Healthcare Products Regulatory Agency (UKMHRA) signed a memorandum of understanding (MoU).
97,"a)  Exchange of safety information, including Pharmacovigilance, where there is a particular safety concern related to the other party."
98,"b)  Participation in scientific and practical conferences, symposia, seminars and fora organized by India and the United Kingdom."
99,"c)  Exchange of information and cooperation on Good Laboratory Practices (GLP), Good Clinical Practices (GCP), Good Manufacturing Practices (GMP), Good Distribution Practices (GDP) and Good Pharmacovigilance Practices (GPvP)."
100,d)  Capacity building in mutually agreed areas.
101,"e)  Promote an understanding between the Parties of each other's regulatory framework, requirements and processes; and to facilitate future regulatory strengthening initiatives for both Parties."
102,f)  Exchange of information on laws and regulations regarding medicines and medical devices.
103,g)  Information exchange to support efforts to control unlicensed exports and imports.
104,       h) Coordination at the international fora.
105,It would facilitate better understanding of the regulatory aspects between the two sides and could help in increased cooperation in the field of medical products regulation and better coordination in international fora.
106,Cabinet approves the Memorandum of Understanding between India and Israel on cooperation in the field of Health and Medicine
107,"The Union Cabinet chaired by the Prime Minister, Shri Narendra Modi has approved the signing of the Memorandum of Understanding (MoU) between India and Israel on cooperation in the field of Health and Medicine."
108,The MoU covers the following areas of cooperation:
109,Exchange and training of medical doctors and other health professionals;
110,Assistance in development of human resources and setting up of health care facilities; 
111,"Exchange of information regarding regulation of pharmaceutical, medical devices and cosmetics; "
112,Sharing expertise for vulnerability assessment for health of citizens against climate risk and public health actions targeted towards mitigation and adaptation; 
113,Sharing of expertise for facilitating climate resilient infrastructure as well as providing support for development of 'Green Healthcare' (climate resilient hospitals);
114,Promote mutual research in various relevant areas; and 
115,Any other area of cooperation as may be mutually decided upon.
116,"Each Party shall encourage the participation of the representatives of their countries in round tables, seminars, symposia, workshops and conferences on issues of cooperation, organized by the other Party's relevant bodies."
117,India sustains trend of consistently low Active Cases
118,Active Caseload below 6 lakh for the sixth dayRecovery Rate crosses 92%
119,The active caseload at the COVID hospital in India is continuing to decline.
120,"India's active caseload stands at 5,33,787 today."
121,Presently the active cases comprise merely 6.42% of the total positive cases of the country.
122,16 States & UTs have cases per million lower than the national average.
123,The recovered cases have surpassed 76.5 Lakhs. The national recovery rate has surpassed 92%.
124,"The number of people recovering and being discharged in the last 24 hours has reached 53,357, while the number of confirmed cases stands at 46,253."
125,17 States and Unites have higher Recovery Rate than the national average.
126,"The cumulative tests have reached 11.29 billion today. 12,09,609 tests were conducted in the last 24 hours."
127,25 States/UTs have better tests per million than the national average.
128,80% of the new recovered cases are observed to be concentrated in 10 States/UTs .
129,"Kerala is leading with more than 8,000 single day recoveries followed by Karnataka with more than 7,000 recoveries."
130,There are now 10 confirmed cases of norovirus.
131,Kerala and Delhi have contributed the most to the number of new cases.
132,There have been more than 500 case deaths in the past 24 hours.
133,India's case fatality rate stands at 1.49%.
134,21 States and UTs have deaths per million lower than the national average.
135,India’s Active Cases have fallen under 5.5 lakhs today
136,"38,310 daily New Cases recorded after 105 daysTotal Recoveries exceed the Active Cases by 70 lakhs"
137,"The number of confirmed COVID cases in India has fallen below 40,000."
138,"With a high number of COVID patients recovering every day and the sustained fall in the mortality rate, India's steady trend of registering fewer active cases continues."
139,The number of positive cases in India has declined significantly.
140,The results of the COVID-19 initiative show that it is effective and effective implementation by the State and UT governments.
141,The number of active cases in the recovered cases has fallen.
142,"The gap between active cases and recovered cases has crossed 70 lakh today and stands at 70,61,716."
143,The number of people recovering and being discharged from hospitals has risen.
144,80% of the new recovered cases are observed to be concentrated in 10 States/UTs .
145,"Maharashtra is leading with more than 10,000 single day recoveries followed by Karnataka with more than 8,000 recoveries."
146,There are now 11 confirmed cases of norovirus.
147,"There are more than 10,000 new cases of HIV/Aids each year in India."
148,There have been more than 500 case deaths in the past 24 hours.
149,India’s case Fatality Rate stands at 1.49%.
150,India maintains top Global Ranking with Maximum Recoveries of more than 75 lakhs
151,Percentage Active Cases have reduced more than 3 times in the past 2 monthsIndia crosses the Landmark of 11 crore Total Tests
152,The number of recoveries in India has passed 75 million for the first time today.
153,"53,285 recoveries have been registered in the last 24 hours in the country."
154,The number of active cases in India has fallen slightly.
155,The number of positive cases in the country is small.
156,The percentage of active cases has reduced dramatically in the last two months.
157,India has carried out 11.07% of all COVID-19 cumulative tests so far.
158,The country’s testing capacities have multiplied manifold with 2037 labs across the country and with collaborative efforts of the Centre and State/UT governments.
159,"Higher number of recoveries is also reflected in the continuous increase in the national recovery rate, which is at present 91.68%"
160,"There have been more than 8,000 recovered cases of suspected norovirus in the past 24 hours from 10 States and UTs."
161,"45,321 confirmed cases have been reported in the last 24 hours in the country."
162,"There were 7,025 new cases of HIV/Aids in India in 2015."
163,496 deaths have been registered in the past 24 hours.
164,10 States and UTs account for 82% of fatalities in the past 24 hours.
165,22% of deaths reported yesterday are from Maharashtra with 113 deaths followed by West Bengal with 59 deaths.
166,India sustains trend of declining Active Cases
167,Continues to have one of the lowest cases per million globallyActive caseload below 6 lakh for the third consecutive day17 States/UTs have cases per million lower than the national average
168,The number of active cases in India has continued to decline.
169,"India has 5,70,458 active caseloads."
170,The active cases have dropped to only 6.97% of the total positive cases of the country demonstrating a steady falling percentage of the total cases.
171,"This sustained achievement is the result of collaborative action by States/UTs under the Centre's strategy of comprehensive testing, timely tracking, quick hospitalization and adherence to the Standard Treatment Protocol which has ensured a standardised quality of medical care across the public and private hospitals and for the home isolation cases."
172,The number of active cases against COVID19 has varied across States/UTs. Karnataka has reported a steep decline in the number of cases in the past 24 hours.
173,The number of active cases in India is continuing to decline.
174,17 States/UTs have cases per million lower than the national average.
175,There have been 470 deaths in the last 24 hours in India.
176,21 States/UTs have deaths per million lower than the national average.
177,The percentage of active cases is declining. The percentage of recovered cases is increasing. The gap between Recovered and Active cases has reached 69.21 million.
178,"With increasing number of recoveries, this gap is continuously widening."
179,The number of people recovering and being discharged from hospitals has risen.
180,76% of the new recovered cases are observed to be concentrated in 10 States/UTs.
181,"Karnataka, Kerala, Maharashtra, West Bengal and Delhi have contributed the most to the number of recovered cases."
182,"46,963 new confirmed cases were recorded in last 24 hours."
183,"There are more than 10,000 new cases of HIV/Aids each year."
184,There have been 470 case fatalities in the past 24 hours.
185,More than 15% of new fatalities reported are from Maharashtra (74 deaths).
186,Government sets up Inter-Ministerial Committee to strengthen the Capital Goods Sector.
187,The government has set up a 22-member inter-ministerial committee in strengthening the Capital Goods(CG) Sector through interventions that help the CG Sector in contributing more actively in the national goal of achieving a USD 5 trillion economy and a USD 1 trillion manufacturing sector.
188,"Informing about the same, Minister for Heavy Industries and Public Enterprises, Shri Prakash Javadekar expressed happiness and said in a tweet message that the committee will work out ways and means to make the capital goods sector globally competitive and to become the manufacturing hub for the world."
189,"Happy to inform that we have set up an Inter-Ministerial Committee to strengthen the capital goods sector, through interventions that help the CG Sector in contributing more actively towards the national goal of achieving a USD 1 trillion manufacturing sector#AatmaNirbharBharat pic.twitter.com/xhdANweAl1"
190,"Initiatives in the Capital Goods Sector require in depth consultations and deliberations with all concerned Ministries and Departments. Therefore, an Inter-Ministerial Committee (IMC) is being constituted with representation from all the concerned CG sector representation to regularly meet and deliberate on issues and bottleneck pertaining to the sector."
191,The Committee will look into all relevant issues pertaining to the Capital Goods Sector.
192,"The Inter-Ministerial Committee (IMC) under the chairmanship of Secretary, DHI is proposed to meet quarterly."
193,The constitution of the IMC for capital Goods Sector will be as follows:
194,Name of Ministry/Department/Organization
195,Joint Secretary Heavy Engineering and Machine Tools Division.
196,"Joint Secretary, DHI (Heavy Electricals Industry/Auto Divisions?"
197,"Joint Secretary, Department of Revenue, North Block"
198,"Joint Secretary, Department of Commerce"
199,"Joint Secretary, Department of Industrial Policy and Promotion"
200,"Joint Secretary, Department of Chemical and Petrochemical"
201,"Joint Secretary, Ministry of Textile"
202,"Joint Secretary, Ministry of Food Processing"
203,"Joint Secretary, Department of Fertilizer"
204,"Joint Secretary, Ministry of Petroleum and Natural Gas"
205,Union Home Minister Shri Amit Shah inaugurated two flyover bridges in his Parliamentary constituency Gandhinagar through video conferencing
206,"Shri Amit Shah said seven more flyovers will be built soon to reduce traffic load on Sarkhej-Gandhinagar-Chiloda National HighwayWhile global economy has suffered due to Corona crisis, on the other hand due to tireless efforts of Modi Government Indian economy will soon be back on trackDevelopment work in the country did not stop even during biggest Corona crisisShri Amit Shah praised Government of Gujarat for maintaining pace of development despite economy being affected by Corona pandemic"
207,Shri Amit Shah has inaugurated two flyover bridges in his Parliamentary constituency Gandhinagar.
208,Seven more flyovers will soon be built on the Sarkhej-Gandhinagar-Chiloda National Highway to reduce traffic load.
209,Shri Amit Shah said the country's economy is improving rapidly. Gujarat is leading the country in the development of basic facilities and has taken many initiatives in the field of all-round development.
210,Shri Amit Shah has praised the efforts of the Gujarat Government in maintaining the pace of development despite the economic situation being affected by the Corona pandemic.
211,"MHA Guidelines for Surveillance, Containment and Caution"
212,"States/ UTs mandated to strictly enforce containment measures, SOPs on various activities and COVID-Appropriate behavior and exercise caution and regulate crowds"
213,"· Ministry of Home Affairs (MHA) issued an Order today withGuidelines for Surveillance, Containment and Caution, which will be effective from December 1, 2020 and to remain in force upto31.12.2020."
214,The government has issued guidelines to control the spread of COVID-19.
215,The list of Containment Zones will be published on the websites.
216,"Within the demarcated Containment Zones, containment measures, as prescribed by MoHFW, shall be scrupulously followed, which includes: "
217,Only essential activities shall be allowed in the Containment Zones.
218,"There shall be strict perimeter control to ensure that there is no movement of people in or out of these zones, except for medical emergencies and for maintaining supply of essential goods and services."
219,There shall be intensive house-to-house surveillance by surveillance teams formed for the purpose.
220,Testing shall be carried out as per prescribed protocol.
221,The list of contacts shall be prepared in respect of all persons found positive and they shall be followed up for 14 days.
222,Quick isolation of COVID-19 patients shall be ensured in treatment facilities/ home (subject to fulfilling the home isolation guidelines).
223,"Clinical interventions, as prescribed, shall be administered."
224,Surveillance for ILI/ SARI cases shall be carried out in health facilities or outreach mobile units or through fever clinics in buffer zones.
225,Awareness shall be created in communities on COVID-19 appropriate behaviour.
226,The prescribed Containment measures must be strictly followed.
227,"State/ UT Governments shall take all necssary measures to promote COVID-19 appropriate behavior and to ensure strict enforcement of wearing of face masks, hand hygiene and social distancing."
228,States and UTs may fine people who do not wear face masks in public and work spaces.
229,"For observance of social distancing in crowded places, especially in markets, weekly bazaars and public transport,Ministry of Health and Family Welfare (MoHFW) will issue a SOP, which shall be strictly enforced by States and UTs."
230,"National Directives for COVID-19 Managementshall continue to be followed throughout the country, so as to enforce COVID-19 appropriate behavior."
231,Strict adherence to the prescribed SOPs
232,"All activities have been permitted outside Containment Zones, except for the following, which have been permitted with certain restrictions:"
233,"International air travel of passengers, as permitted by MHA."
234,"Cinema halls and theatres, with upto 50 percent capacity."
235,"Swimming pools, only for training of sports persons."
236,"Exhibition halls, only for business to business (B2B) purposes."
237,"Social/ religious/ sports/ entertainment/ educational/ cultural/ religious gatherings, with upto a maximum of 50 percent of the hall capacity, with a ceiling of 200 persons in closed spaces; and keeping of the size of the ground/ space in view, in open spaces."
238,"However, based on their assessment of the situation, State/ UT Governments may reduce the ceiling to 100 persons or less, in closed spaces."
239,The Guidelines enclose a list of 19 SOPs to regulate the activities that have been permitted.
240,"States and UTs may impose local restrictions to contain the spread of COVID-19, but they must consult with the Central Government first."
241,States and UTs concerned should consider introducing staggered office timings and other suitable measures to reduce the number of employees attending office at the same time.
242,No restriction on Inter-State and intra-State movement
243,There shall be no restriction on inter-State and intra-State movement of persons and goods.
244,"Vulnerable persons, i.e., persons above 65 years of age, persons with co-morbidities, pregnant women, and children below the age of 10 years, are advised to stay at home, except for meeting essential requirements and for health purposes."
245,The use of Aarogya Setu mobile application will continue to be encouraged.
246,Cabinet Secretary chairs NCMC meeting on cyclone “NIVAR”
247,"Our aim should be to ensure that there is no loss of life and damage is minimum, says Shri Rajiv GaubaCenter assures all necessary assistance to the state governments"
248,Cyclonic Storm “NIVAR” brought a lot of rain.
249,"Shri Gauba said that our aim should be to ensure that there is no loss of life, damage is minimum and normalcy is restored in power, telecom and other important sectors in shortest possible time."
250,"The cyclone ""NIVAR"" is heading towards India. NDRF has so far deployed 30 teams and 20 more are on standby for Tamil Nadu, Puducherry and Andhra Pradesh."
251,The situation on the sea is bad. Fishermen and people in coastal areas are being evacuated.
252,"National Disaster Response Force (NDRF) fully prepared for Cyclonic Storm ""NIVAR"""
253,"NDRF pre-positions 22 teams at likely affected areas in Tamil Nadu, Puducherry and Andhra Pradesh NDRF working in close coordination with district and local administrations"
254,"Cyclonic Storm ""NIVAR"" is located about 380 km East-Southeast of Puducherry and 430 km Southeast of Chennai. Cyclone ""N IVAR"" will intensify further into a severe cyclonic storm and cross Tamil Nadu and Pudukherry coasts between Karaikal and Mamallapuram around 5 pm on 25 November."
255,"The weather forecast is favourable for natural disasters. NDRF teams have been pre-positioned at likely affected areas. Teams have been kept reserve at Guntur (Andhra Pradesh), Thrissur (Kerala), and Mundli (Odisha) to meet additional requirements."
256,All NDRF teams are equipped with appropriate PPEs.
257,NDRF is working in close coordination with district and local administrations to prepare for the cyclone. NDRF teams are evacuating people from areas that are likely to be affected by the cycloon.
258,Union Home Minister Shri Amit Shah inaugurated mobile COVID-19 RT-PCR Lab jointly developed by SpiceHealthand the Indian Council of Medical Research(ICMR)
259,Modi government is committed to contain the spread of COVID-19Will help add more capacity to COVID-19 testing
260,"The Union Home Minister, Shri Amit Shah, has inaugurated a mobile RT-PCR lab at the Indian Council of Medical Research (ICMR)."
261,"The first RT-PCR testing lab for COVID-19 testing will be established in Delhi. The lab is accredited by NABL and approved by the ICMR. RT and PCR tests will cost Rs. 499/- and will be covered by ICMR, so that the common people won't have to pay for them."
262,The test report will be available within 6 to 8 hours compared to the average 24 to 48 hours.
263,SpiceHealth has signed a Memorandum of Understanding with ICMR for setting up testing facilities (laboratories)and collection centres across the country. The first such facility has been set up in Delhi.
264,"Aminer Shah inaugurated and laid foundation stones for infrastructure projects worth about Rs. 70,000 crore in Chennai."
265,Tamil Nadu and Tamil culture one of the oldest cultures in India and has always brought glory to India in the world - Shri Amit Shah
266,"Union Home Minister says whether it is culture, elemental knowledge, science, arts, crafts and the Freedom Movement, Tamil Nadu's contribution cannot be forgotten, I salute this great land "
267,Narendra Modi government stands firmly with the Tamil Nadu Government and is fully committed to the development of the state
268,"Schemes and funds given to Tamil Nadu should not be considered as help, this is the right of Tamil Nadu, rights which were not given till now have been extended to Tamil Nadu by Narendra Modi"
269,Modi government has approved investment of Rs 2.25 lakh crore for development of port and road projects in the state under SagarMala as well as Defence Corridor for Tamil Nadu
270,"Tamil Nadu’s handling of COVID has been the best, it has the highest recovery rate of 97 percent in the country"
271,"No other state government could do as much as the Tamil Nadu government during the COVID pandemic, took care of pregnant mothers and the new born"
272,"Tamil Nadu plans to provide drinking water to all its 1.20 crore families by 2024, despite COVID water has been provided to 9 lakh villagers in the state"
273,"The amount transferred to bank accounts of farmers across the country and to those of Tamil Nadu farmers was about Rs. 4,404 crore."
274,"Tamil Nadu is using funds properly for the Blue Revolution, therefore I am confident that it can become the top state in the country even in the Blue Revolution"
275,"Under the leadership of Prime Minister Narendra Modi, the nation’s borders have been secured, now no one can threaten Tamil Nadu’s fishermen"
276,"The Union Home Minister Amit Shah inaugurated and laid foundation stones for infrastructure projects worth about Rs. 70,000 crore in Tamil Nadu's capital, Chennai today. He dedicated the reservoir at Theravaikandigai in Thiruvallur district. He also paid tribute to former Chief Ministers of Tamil Nadu, Bharat Ratna M. G. Ramachandran and Jayalalithaa."
277,"Shri Amit Shah, the Union Home Minister, was speaking at the annual festival of Tamil Nadu."
278,"The Union Home Minister, Rajnath Singh, said that the government at the Centre stands firmly with the Tamil Nadu government and is fully committed to the development of the state."
279,"The Modi Government has approved investment of Rs. 2.25 lakh crore for the development of port and road projects in Tamil Nadu. Also, Rs 13,700 crore has been invested for the East Coast Road. A memorial in the name of former President of India, APJ Abdul Kalam, was inaugurated and Tejas Express was launched."
280,Shri Amit Shah congratulated the Tamil Nadu government on its success in fighting COVID.
281,"The Union Home Minister, Rajnath Singh, congratulated the government of Tamil Nadu on providing drinking water to all 1.20 crore families by 2024."
282,"The previous government waived off loans of 60,000 crore in 10 years, but the Narendra Modi government has transferred Rs. 95,000 Crores directly into bank accounts of farmers in three years. About Rs. 4,404 Crores has been transferred to 45 lakh farmers of Tamil Nadu."
283,Shri Amit Shah believes Tamil Nadu can become the number one fish producer in the country if properly utilising the Blue Revolution Fund.
284,"The Union Home Minister, Shri Narendra Modi, has said that there is healthy competition among states for good governance. Tamil Nadu has been number one this year in good governance and water conservation and water distribution."
285,Shri Amit Shah congratulated the government of Tamil Nadu for its support to agricultural reforms brought by the Modi government.
286,"The Union Home Minister, Shri Narendra Modi, has done a lot to secure the country's borders under his leadership."
287,Shri Amit Shah congratulated the security forces who stopped four heavily armed terrorists from a neighbouring country from entering India.
288,Union Home Minister Shri Amit Shah directs slew of measures for controlling the spread of Covid-19 in Delhi at a review meeting 
289,"RT-PCR testing capacity in Delhi to be doubledIn view of the shortage of medical staff in Delhi, it was decided to provide additional doctors and paramedical staff from the CAPFs and they would soon be airlifted to DelhiShri Amit Shah directs Ministry of Health & Family Welfare to make arrangements for requisite numbers of BIPAP machines and high flow nasal canulas to the Delhi Government within the next 48 hoursHouse-to-house survey in the entire Delhi to be conducted by the teams of AIIMS, Government of NCT of Delhi and MCDsMOHF&W to issue a standard protocol for plasma therapy and plasma administration for treatment of COVID-19 patients immediatelyMobile testing labs to be deployed by the Ministry of Health & Family Welfare and ICMR in areas where poor and vulnerable sections of the society reside250-300 beds with ICUs to be added to the existing medical facility of DRDO at Dhaula KuanThe 10,000 bed Covid Care Centre established at Chattarpur will also be strengthened with a view to enhance availability of beds with oxygen capacityDedicated multi-departmental teams to visit all the private hospitals in Delhi to physically check the availability of Covid-19 medical infrastructure vis-a-vis the admission statusUnion Home Minister specifically emphasized the need to keep track of Covid-19 patients who are in home isolation and ensure that they are shifted to regular hospitals as soon as urgent medical attention is deemed necessaryAuthorities of Delhi Government and Commissioner of Police, Delhi, to strictly enforce the necessary measures, especially wearing of face masks, so that there is no laxity in observance of Covid-19 appropriate behavior"
290,The number of cases of infectious disease in Delhi is increasing.
291,The situation at Covid-19 in Delhi is deteriorating. The number of active cases per day has increased and the health and medical infrastructure is under strain. 
292,The meeting was held in Delhi. The Union Home Minister ordered the doubling of the RT-PCR testing capacity in the capital city. 
293,Home Minister Amit Shah has directed MOHF&W to make arrangements for requisite numbers of BIPAP machines and high flow nasal canulas to the Delhi Government within the next 48 hours.
