,content
76,"·Use of unexhausted packaging material/wrapper had also been allowed upto 30thSeptember, 2017 after making the necessary corrections."
77,"·Considering the requests received to extend the permission for some more time, display on the revised MRP due to implementation of GST by way of stamping or putting sticker or online has been extended up to 31stMarch, 2018."
78,"·Further Government has reduced the rates of GST on certain specified items, permission has been granted under sub-rule (3) of rule 6 of the Legal Metrology (Packaged Commodities) Rules, 2011, up to 31st March, 2018 to affix an additional sticker or stamping or online printing for declaring the reduced MRP on the pre-packaged commodity.In this case also, the earlier Labelling/ Sticker of MRP will continue to be visible."
79,"·This relaxation is also applicable in the case of unsold stocks manufactured/ packed/ imported after 1stJuly, 2017 where the MRP would reduce due to reduction in the rate of GST post 1stJuly, 2017."
80,"·For ease of doing business, an advisory was issued to all stakeholders that loose readymade garments are not covered under the Legal Metrology (Packaged Commodities) Rules, 2011."
81,The government of Maharashtra has asked vendors to comply with the rules on overcharging.
82,"·To safeguard the interest of consumers, advisory has been issued to all State Governments to ensure all declarations including MRP on all medical devices."
83,·Advisory in the interest of consumers was also issued to all State Governments to ensure the correct quantity of petrol/ diesel and LPG Cylinders.
84,BUREAU OF INDIAN STANDARDS (BIS) ACT 2016
85,The new Act establishing the Bureau of Indian Standards as the National Standards Body of India has come into force.
86,The following are highlights from an international conference on consumer protection held in New Delhi.
87,"The Union Government has approved the introduction of new Consumer Protection Bill, 2017 in Parliament."
88,"ii) Faster redressal of Consumer Grievances,"
89,iv) Modernizing legislation to keep pace with ongoing change in market.
90,"Corporate Governance is in the interests of companies as it enhances their image, acceptability and profitability, says Ministry of Corporate Affairs’ Secretary Injeti Srinivas"
91,The challenge before India is to internalise Corporate Governance.
92,"Shri Sriniwas, the DG & CEO of IICA and Joint Secretary of MCA signed a Cooperation Agreement between the Institute of Corporate Affairs and International Finance Corporation."
93,"Presiding over the signing ceremony, Shri Injeti Srinivas, Secretary, Ministry of Corporate Affairs said, “Good governance is the key to sustainability of any initiative, be it companies or the Government.”"
94,He said that companies will compete for ratings in Corporate Governance if the Corporate governance norms play an important role in their value.
95,"Shri Gyaneshwar Kumar Singh, Joint Secretary, MCA and DG & CEO, IICA welcomed the house and spoke on the collaborative framework of the Cooperation Agreement covering many areas. He highlighted the importance of the National Voluntary Guidelines on social, environmental and economic responsibilities of business. Corporate Governance is important because there are many companies and there is not enough time to track them all."
96,"Mr Jun Zhang, Country Head, IFC, shared that India is IFC’s strongest partner in terms of investment. Corporate Governance is the most critical factor to know if the investment is a success or a failure."
97,"Ms Preeti Malhotra, Member, Board of Governance, IICA, said proper implementation of the laws is the key to good Corporate Governance."
98,IFC and IICA have a long-standing engagement agreement.
99,The house has voted to extend a vote of thanks to IICA.
100,IICA and IFC signed a Cooperation Agreement aimed at strengthening corporate governance practices in India.
101,No Association with ‘IBBI Insolvency Practitioners LLP’
102,It has come to the notice of the Insolvency and Bankruptcy Board of India (IBBI) that there is a Limited Liability Partnership (LLP) by the name “IBBI Insolvency Practitioners LLP”.
103,"IBBI has not authorised any person to use it’s name in any form, whether abbreviated or otherwise."
104,b. The company called IBBI Insolvency Practitioners LLP is not registered as an Insolvent.
105,IBBI has no association whatsoever with “IBBI Insolvency Practitioners LLP”.
106,The stakeholders are advised to consider the above clarification while dealing with “IBBI Insolvency Practitioners LLP”.
107,                                    
108,"On the occasion of the 69th Republic Day, the Ministry of Corporate Affairs (MCA) is launching the Government Process Re-engineering (GPR) initiatives for making the Incorporation Process Speedy, Smooth, Simple and reducing the number of procedures involved for starting a new Business."
109,The Ministry of Corporate Affairs has contributed significantly towards improvement of ranking in Ease of Doing Business in the country.
110,The feedback provided by various stakeholders on the effectiveness of initiatives taken by Government of India is considered as a major input during the survey conducted by the World Bank.
111,"This year, on the occasion of 69th Republic Day, the Ministry is launching the following Government Process Re-engineering (GPR) initiatives for making the Incorporation Process Speedy, Smooth, Simple and reducing the number of procedures involved for starting a Business."
112,"(i) Introduction of “RUN – Reserve Unique Name” Web service for name reservation, which will be launched on 26.01.2018."
113,(i) Zero fee for incorporation of all companies with authorized capital upto Rs. 10 lakh.
114,(iii) Re-engineering the process of allotment of DIN by allotting it through the combined SPICe form only at the time of an individual’s appointment as Director (in case he/she doesn’t have a DIN).
115,It is expected that the above initiatives will significantly enhance the “Ease of Doing Business –Starting a Business” in the Country and benefit a large number of Stakeholders.
116,"Arun Jaitley, Union Finance and Corporate Affairs minister, launches National CSR Data Portal & Corporate Data Portal in Delhi"
117,Jaitley: Corporate India to see more accountability and transparencyChaudhary: Government leveraging technology towards smart governance
118,Shri Arun Jaitley launched the National CSR Data Portal & Corporate Data Portal today in the presence of Shri P.P. Chaudhary.
119,The initiative to make corporate CSR portals available to general public is a significant step towards driving accountability and transparency for corporate India.
120,"Shri P. P. Chaudhary, Minister of State for Corporate Affairs and Law & Justice, said that both the portals reflect the government's commitment towards leveraging technology towards smart governance."
121,"Shri Chandrajit Banerjee, Managing Trustee, National Foundation for Corporate Governance and DG, CII, spoke about the importance of the legislation on CSR and how Indian industry has responded spontaneously to it."
122,The two corporate transparency portals were launched to promote corporate transparency and accountability.
123,The National CSR Data Portal will collect information on CSR activities of companies.
124,The Corporate Data Portal aims at making all the financial and non-financial information of the companies available in a user friendly format to the general public.
125,"Officials from various ministries/departments, corporates, organisations and people from academia attended the event."
126,"The Union Minister for Finance and Corporate Affairs, Arun Jaitley, launched the CSR and Corporate Data Portal in New Delhi on January 19, 2018."
127,"ICSI gives honourary fellowship to Shri P.P. Chaudhary, Union Minister of State for Law & Justice and Corporate Affair."
128,"Shri P.P. Chaudhary, Union Minister of State for Law and Justice & Corporate Affairs, has been awarded the Honorary Fellowship of Institute of Company Secretaries of India."
129,"Shri Chaudhary has conducted around 11,000 cases, mostly Constitutional Litigations for the last 38 years on matters related to land acquisition, farmers grievances, labour & service, central excise & customs and PILs related to restoration of natural water bodies and dams."
130,The Institute of Company Secretaries of Ireland (ICSI) has awarded an honorary fellowship to a company secretary.
131,The Central Government is considering to establish Database of Independent Directors.
132,The newly appointed Independent Directors of Public Sector Banks and Public Sector Undertakings (PSUs) were inaugurated today.
133,"On this occasion, Shri Gopal Krishan Agrawal, Member, Board of Governors, IICA, said that Independent Directors bring their experience of diverse fields to a company’s Board. They also have to set up policy and systems."
134,"Shri Gyaneshawar Kumar Singh, Joint Secretary, MCA and DG & CEO, IICA welcomed the house and spoke on the crucial role of Independent Directors as independent advisors. "
135,"Shri Madhhukar Gupta, Additional Secretary, Department of Public Enterprise, Govt. of India, highlighted the importance of IDs to the effective functioning of the Board."
136,"Ms Vladislava Ryabota, Lead CG, IFC – World Bank, while referring to international best practices, underlined the need that the laws work effectively only if training and knowledge development accompany them."
137,The IICA board of directors has voted to extend a vote of thanks to Dr Naveen Sirohi.
138,The newly appointed IDs of PSBs and PSUs will undergo orientation program.
139,"The Central Government notifies the Companies (Amendment) Act, 2017"
140,"The Central Government notified the Companies (Amendment) Act, 2017 (Am amendment Act) on 3rd January, 2018. The provisions of this Act have important bearing on the working of the Insolvency and Bankruptcy Code, 2016 (Code)."
141,The Companies Act Amendment Act allows companies to issue shares at a discount to their creditors.
142,"The amendment to the Companies Act, 2013 amends section 197 to allow company directors to pay managerial remuneration in excess of 11% of net profit."
143,A registered valuer cannot undertake valuation of any assets in which he has a direct or indirect interest.
144,"The Companies (Amendment) Act, 2017 is available www.ibbi.gov.in and www.mca.gov.in."
145,"Registrar of Companies removed names of 2,26,166 defunct companies in 2017"
146,The government has launched a campaign against black money and wilful defaulters and erring directors.
147,The number of companies registered in India has been reduced by more than two-and-a-half times since demonetisation.
148,"As of now, the Government has identified 3,09,619 directors as disqualified u/s 164(2)(a) of the Companies Act, 2013 pertaining to companies for which Financial Statements or Annual Returns have not been filed for a continuous period of three Financial Years."
149,This is stated by Shri P.P. Chaudhary in written reply to a question in Lok Sabha today.
150,"In FY 2016-17, 29,403 companies registered as LLP on all India basis"
151,"The Limited Liability Partnership Rules, 2009 have been in force since 01.04.2009. They provide for effecting/implementing the provisions of the Limited liability partnership Act, 2008."
152,The State/UT-wise number of companies converted into LLPs and the LLPs registered during last three years is given below:
153,State/UT-wise number of companies converted into LLP and LLPs registered during last three years
154,This is stated by Shri P.P. Chaudhary in written reply to a question in Lok Sabha today.
155,"CSR expenditure of companies for FY2015-16 is RS 13,625.25 crores"
156,"The total amount spent on Corporate Social Responsibility (CSR) by MCA21 companies till 31.03.2017 was 13,625.25 crores."
157,This is stated by Shri P.P. Chaudhary in written reply to a question in Lok Sabha today.
158,"Based on investors’ grievances, action has been taken against 80 companies in FY 2015-16, against 149 companies in FY 2016-17 and against 83 companies in 8 months of FY 2017-18"
159,"According to the data maintained by the Ministry of Corporate Affairs, action has been initiated against 83 companies for investors' grievances."
160,The details of action initiated by Securities and Exchange Board of India (SEBI) on non-redressal of investors grievances during the last two years and current year (till date) are tabulated hereunder:-
161,"Adjudication Proceedings under Section 15-I of SEBI Act,1992"
162,Trading in scrips should not be suspended on receipt of an investor complaint.
163,This is stated by Shri P.P. Chaudhary in written reply to a question in Rajya Sabha today.
164,"Companies report CSR expenditure of Rs 13,625.25 crores in FY2015-16; education, differently-abled and livelihood get maximum CSR funds of Rs 4,647.67 crores"
165,"The total Corporate Social Responsibility (CSR) expenditure of Indian companies for the years 2014-15 and 2015-16 is Rs. 9,553.72 crores and Rs. 13,625.25 crores."
166,"The number of companies that failed to spend CSR amount for the years 2014-15 and 2015-16 is 10,547 and 8,924 respectively."
167,DEVELOPMENT SECTOR WISE CSR EXPENDITURE FOR FY 2014-15 AND FY 2015-16
168,Health/ Eradicating Hunger/ Poverty and malnutrition/ Safe drinking water / Sanitation 
169,Education/ Differently Abled/ Livelihood
170,Environment/ Animal Welfare/ Conservation of resources 
171,Gender equality / Women empowerment / Old age homes / Reducing inequalities 
172,Prime Minister's National Relief Fund
173,"Other Sectors (Technology Incubator and benefits to armed forces, admin overheads and others"
174,196 companies faced penal action in FY 2014-15 for non-compliance of CSR norms; Maharashtra tops in CSR expenditure in FY 2015-16
175,The Ministry of Corporate Affairs has issued several circulars and organises various workshops on corporate social responsibility (CSR). It has also granted permission for penal action against 196 companies for the financial year 2014 - 15.
176,The CSR (Corporate Social Responsibility) Act has come into force.
177,CSR Expenditure during 2014-15 and 2015-16 
178,No. of companies which have reported any CSR expenditure.
179,No. of companies which have reported any CSR expenditure.
180,STATE/UT-WISE CSR EXPENDITURE DURING FY 2014-15 AND FY 2015-16
181,Not Elsewhere Classified/Not Mentioned
182,Sports related CSR expenditure increase to Rs 80.05 crores in FY 2015-16 as compared to FY 2014-15; North-East sports related CSR surges to Rs 103 lakhs in FY 2015-16 as compared to FY 2014-15
183,The total amount spent by companies on sports related activities as part of Corporate Social Responsibility (CSR) expenditure for the years 2014-15 and 2015-16 is Rs. 53.34 crore and Rs. 133.39 crore.
184,This is stated by Shri P.P. Chaudhary in written reply to a question in Rajya Sabha today.
185,"After Green Revolution and White Revolution, the Financial Revolution in India is all set to transform the Rural Economy: Secretary, Corporate Affairs;"
186,IICA and IPPB sign an Agreement as part of a collaborative effort towards Financial Inclusion.
187,IICA and India Post Payments Bank (IPPB) signed an agreement today. IICA will help in capacity building and research support of IPPB.
188,"In his Presiding Remarks, Shri Injeti Srinivas, Secretary, Ministry of Corporate Affairs, said that after green and white revolution, a Financial Revolution in India is all set to transform the rural economy. "
189,"The Secretary, Department of Posts, Shri AN Nanda, has said that mobilization of household savings - a sound pillar giving strength to Indian economy - has been facilitated by Department of Post since long. "
190,"IPPB is a flagship ""financial inclusion"" initiative of Government of India to cover major portion of the country's population that is outside the ambit of formal banking."
191,The interprovincial financial partnership between the Post Office and the IPPB will be operational in the next 5-6 years.
192,The India Post Payments Bank (IPPB) launched a training programme aimed at increasing financial literacy in rural areas.
193,"Amendments to(i)the Insolvency and Bankruptcy Board of India(Insolvency Resolution Process for Corporate Persons)Regulations, 2016, and(ii)the Insolvency and Bankruptcy Board of India(Fast Track Insolvency Resolution Process for Corporate Persons)Regulations, 2017."
194,"The Insolvency and Bankruptcy Board of India (IBBI) has amended(i)the Insolvency and Bankruptcy Board of India(Insolvency Resolution Process for Corporate Persons)Regulations, 2016, and(ii)the Insolvency and Bankruptcy Board of India(Fast Track Insolvency Resolution Process for Corporate Persons)Regulations, 2017on 31stDecember, 2017."
195,Dissenting Financial Creditor means a financial creditor who voted against the Resolution Plan or abstained from voting for it.
196,"After the receipt of Resolution Plan(s) in accordance with the Insolvency and Bankruptcy Code, 2016 (Code) and the Regulations, the Resolution Professional shall provide the liquidation value to every member of the Committee of Creditors. Each member must maintain confidentiality of such value."
197,"According to the Amendments, a Resolution Applicant shall submit the resolution plan(s)to the resolution professional within the time given in the invitation for the Resolution Plans in accordance with the provisions of the Code.This will enable the Committee of Creditors to close a resolution process as early as possible subject to provisions in the Code and the Regulations."
198,The Amendments have come into force from today on their publication in the Gazette of India.The Amendments are available atwww.mca.gov.inandwww.ibbi.gov.in.
199,"IBBI publishes syllabus, format and frequency of examinations for “valuers”; from 1stApril 2018, only registered “valuers” can conduct valuations"
200,"The syllabus, format and frequency of the valuation examination for the three asset classes of “securities or financial assets”, “land and building” and “plant and machinery” has been published by the Insolvency and Bankruptcy Board of India."
201,"The Central Government had issued the Companies (Removal of Difficulties) Second Order, 2017, to provide that valuations required under the Companies Act, 2013, shall be undertaken by a person having the necessary qualifications and experience and being a “valuer member” of a recognised valuer organisation, is registered as a “valuer” with the IBBI.A registered “valuer” may conduct valuations under any other law, if required or permitted under that law or the concerned authority."
202,"It is mandatory for a ""valuer"" to be registered with the IBBI as a registered valuer from 1stApril 2018. Notifications to this effect were issued by the Government of India under the Companies Act, 2013 and the Insolvency and Bankruptcy Code, 2016. Valuers can continue to provide valuation services up to 31st March 2018."
203,"The IBBI had earlier on 27thDecember 2017 recognised two Registered Valuers Organisations, “the Institution of Estate Managers and Appraisers” in the asset class of “land and building” and “the IOV Registered Valuers Foundation” in all three asset classes of “land and building”, “plant and machinery” and “securities or financial assets”."
204,It is a pre-requisite before registering with the IBBI that the valuer must fulfil four pre-requisite conditions of:
205,a.Must have necessary qualification and experience
206,b.Enrolled as a valuer member with a Registered Valuer Organisation (RVO)
207,c.Complete a recognised educational course conducted by the RVO
208,d.Pass valuation examination conducted by IBBI
209,The details of educational courses and syllabus of valuation examinations are available on IBBI websitewww.ibbi.gov.in.
210,Insolvency Bankruptcy Board of India publishes syllabus and other details of educational courses and valuation examinations
211,"The Central Government notified the commencement of section 247 (relating to valuers) of the Companies Act, 2013 and notified the Companies (Registered Valuers and Valuation) Rules, 2017 on 18th October, 2017."
212,"The Central Government issued two notifications on 23rd October, 2017. "
213,"The notifications require that with effect from 1st April, 2018, a person is to be registered with the IBBI as a registered valuer."
214,"A registered valuer may conduct valuations under any other law, if required or permitted under that law or the concerned authority."
215,"In pursuance to the Companies (Registered Valuers and Valuation) Rules, 2017, IBBI, being the Authority, recognised on 27th December, 2017 two RVOs, namely, (a) The Institution of Estate Managers and Appraisers in the Asset Class of Land and Building, and (b) The IOV Registered Valuers Foundation in the Asset Classes of: (i) Land and Building (ii) Plant and Machinery, and (iii) Securities or Financial Assets."
216,"The details of educational course for the Asset Class of ‘Securities or Financial Assets’ on 30th December, 2017 have been published today. The courses for “Land and Building” and “Plant and Machinery” are to be delivered by RVOs in less than 50 hours."
217,"The IBBI has published the details of the valuation examination for the Asset Class of ‘Securities or Financial Assets’ on 30th December, 2017. It has also published details for Asset Classes of Land and Building, and Plant and Machinery. A person wishing to be a valuer needs to pass this examination."
218,The details of educational courses and syllabus of valuation examinations are available on IBBI website www.ibbi.gov.in.
219,59th National Exhibition of Arts inaugurated by Dr Mahesh Sharma in New Delhi today
220,The 59th National Exhibition of Art is being held at Lalit Kala Akademi in New Delhi.
221,Culture Minister Dr. Mahesh Sharma believes that an artist works with all his heart and deserves a platform to display their art.
222,"The inauguration ceremony was attended by eminent artists like Adwaita Gadanayak, Vijay Kumar, Kathrine Kumar, Pravesh Khanna, Gogi Saroj Pal, Ananda Moy Bannerji and Amit Dutt."
223,The Lalit Kala Akademi presents a collection of artworks by some of India's leading artists.
224,The selection jury of the Akademi has selected 15 winners for the 59th National Exhibition of Art.
225,President of India presents Sangeet Natak Akademi’s fellowships and Akademi Awards for 2016 
226,"The President of India, Shri Ram Nath Kovind, presented the Sangeet Natak Akademi’s Fellowships (Akademi Ratna) and Sangeet Natak Akademi Awards (Akademi Puraskar) for the year 2016 at a function held at Rashtrapati Bhavan today (January 17, 2018)."
227,The President called on the artists to use the power of art for the good of society and country.
228,"The President of India has praised the Sangeet Natak Akademi for honouring artists from the field of tribal music, dance and theatre."
229,The Sangeet Natak Akademi’s Fellowships and Sangeet Natak Akademi Awards are recognised as among the most coveted national honours bestowed on performing artists as well as teachers and scholars of performing arts.
230,President of India to confer tomorrow Sangeet Natak Akademi Fellowships and Awards for 2016
231,The Sangeet Natak Akademi will confer fellowships and awards to 43 artists tomorrow.
232,The Sangeet Natak Akademi Fellowships and Sangeeta Natak Puraskar are national honours bestowed by the Republic of India on performing artists as well as teachers and scholars in the field of performing arts.
233,"This year's fellowships will be awarded to Shri Arvind Parikh, Smt. Vedavalli, Shri Ram Gopal Bajaj and Shri Sunil Kothari."
234,"In the field of Music, eleven artists received the Akademi’s Awards this year."
235,This year's Akademi Awards honour the outstanding achievements of dance artists from India.
236,This year's Akademi Awards honour the outstanding contribution to Indian Theatre.
237,This year's Akademi Awards honoured ten artistes from the field of Traditional/Folk/Tribal Music/Dance/Theatre and Puppetry.
238,Pappu Venugopal Rao and Avinash Pasricha received the Akademi’s Award for their overall contribution in the performing Arts.
239,"The Fellowships and Awards ceremony for 2016 is followed by a festival of music, dance and drama scheduled from 18 to 21 January 2018."
240,"The Sangeet Natak Akademi is India's National Academy of Music, Dance and Drama. It is responsible for the promotion and preservation of the performing arts of the country. It awards Fellowship and Awards to outstanding musicians, dancers and theatre artists."
241,7th edition of ‘Rashtriya Sanskriti Mahotsav-2018’ inaugurated in Karnataka
242,"The 7th edition of Rashtriya Sanskriti Mahotsav was inaugurated in Bangaluru, Karnataka."
243,Shri Annath Kumar was the chief guest at the inaugural function of Rashtriya Sanskriti Mahotsav organised by the Ministry of Culture.
244,"Rashtriya Sanskriti Mahotsav 2018, a cultural festival celebrating Indian culture brought together the art, artisans, dance, handicrafts, flavours and music from different regions."
245,The inaugural day of the Rashtriya Sanskriti Mahotsav was held in Karnataka.
246,"As a part of Rashtriya Sansktriti Mahotsav Dr Mahesh Sharma also inaugurated an exhibition at National Gallary of Modern Art, Bangluru on Nicholas Roerich, a Russian artist, writer, theosophist and archaeologist who lived and died in the Himalayas."
247,"The Mahotsav will be held in the following cities in Karnataka: Hubli-Dharwad, Nehru Stadium, from 17th January to 18th January, 2018, Mangaluru, Nizam Stadium from 19th to 20th January 2018, and Bengaluru, Neerukulam Maidan from 19st January to 20st January 2018. There will be cultural utsavs at all the venues."
248,At the Manikyavelu Mansion (National Gallery of Modern Art)
249,"Exhibition on Nicholas Roerich, Russian artist, writer, theosophist and archaeologist, who lived and died in the Himalayas, opens today."
250,Slide – talk presentation on artists from Uttarakhand on January 15 between 5.00 pm – 6.00 pm.
251,"At the Indira Gandhi National Centre for the Arts, (Southern Regional Centre)"
252,Exhibition on Uttarakhand curated by IGNCA
253,Screening of films on Almora Ramleela and Pandavleela between 3.00pm – 5.00pm 
254,At the Jnana Jyothi Auditorium (main venue)
255,"‘Celebrating our plural traditions, ‘Ek Bharat Shrestha Bharat’"
256,Flautist Chanden Kumar from Karnataka
257,Classical vocal recital by M Venkatesh Kumar from Dharwad
258,Karnataka Sangeet Symphony led by violinst Apoorva Krishna
259,Ramman ritual theatre of GarhwalHimalayas (inscribed by UNESCO as Cultural Heritage in 2009) – an IGNCA presentation
260,"Chholiya, Chhapeli Nritya by Dancers from Uttrakhand"
261,Thadya Chhapeli Nritya by dancers from Uttrakhand
262,"Mathuri, Lambadi & Dhimsa (Telangana)"
263,Handloom and Handicraft Utsav is being held in Uttarakhand.
264,Food – festival with 6 traditional cuisines from different states with special focus on Uttarakhand.
265,"7th edition of ‘Rashtriya Sanskriti Mahotsav-2018’to be held in Karnataka from 14th to 20th January, 2018"
