,content
159,"In order to reduce stress, we need to introduce some form of course correction in our lifestyle."
160,It pains me to see instances of youngsters ending their lives due to the pressures of studies. Parents and teachers must play a proactive role in counselling students. Every educational institution should have in-house counsellors. Students must be motivated to face any adversity fearlessly and do their duty diligently without worrying about the result.
161,I urge religious leaders to promote spirituality among the youth and the masses.
162,I commend Swami Bhoomananda Tirtha ji and others for trying to spread the message of the Bhagavad Gita and stressing the importance of ‘mental harmony’ through this convention.
163,"Lastly, I wish to state that the distilled wisdom of the Bhagavad Gita is for the benefit of entire humanity and efforts should be made to translate the message into as many languages as possible so as to enhance the reach of this seminal work."
164,CIRD-NA and the Global Bhagavad Gita Convention aim to share civilizational knowledge with the world.
165,The fifth edition of the Global Bhagavad Gita convention is taking place.
166,Digital learning should not lead to digital divide: Vice President
167,"Mantra of education should be - embrace, engage, enlighten, empower: VPVP calls for transformation of our teaching methodologyExpresses concern about pandemic’s impact on children’s educationVP stresses the need for de-colonisation of India’s education systemTeachers should keep fit and motivate their students for the same – Vice President Vice President inaugurates Sports Centre and Open Educational Resource (OBR) at National Institute of Technical Teachers Training & Research (NITTTR), Chennai"
168,The Vice President Shri M. Venkaiah Naidu has called for increased access to the internet and inclusivity at the heart of the educational experience to promote digital learning.
169,"The Vice President, Shri M. Venkaiah Naidu, is inaugurating the Sports Centre at Nitttr_chennai today."
170,"The pandemic affected girls, children from disadvantaged backgrounds, those living in rural areas and children with disabilities more than others."
171,The Vice President of NITTTR inaugurated the NITTR Open Educational Resource today.
172,Shri Naidu has called for urgent action to improve the skills of teachers.
173,Shri Naidu further stressed the need to create teachers who are ‘learners and creators of knowledge 
174,The Vice President of India has said that teachers have a greater responsibility in shaping India’s young population into responsible citizens.
175,Teachers worked hard to support students during the pandemic.
176,The Vice President of Pakistan has called on teachers to promote learning and develop innovative thinking.
177,The Vice President of India called for regaining the ancient knowledge systems and great sages who had made India a knowledge giver.
178,Shri Naidu appreciated AICTE for starting technical courses in Indian languages.
179,Shri Naidu encourages teachers to teach students about ‘experiential learning’ methodology.
180,"NITTTR has trained more than 60,000 learners in the past two years."
181,Shri Naidu has congratulated the inauguration of the Sports Centre at NITTTR.
182,The Vice President is interacting with the faculty members and students of Nitttr Chennai.
183,Shri Naidu called for better facilities and connectivity in rural areas to bridge the rural-urban divide. He also urged the state governments to focus on Smart Cities program and create model cities to inspire other urban centers to improve their facilities.
184,"Thiru Ma.Subramanian, Health Minister of Tamil Nadu, Dr. V.S. Kumar, Chairman, Board of Governors, NITTTR Chennai, Usha Natesan, Director, NITI TEL, and G. Kulanthaivel, Professor, are present."
185,Following is the full text of speech – 
186,"I am visiting National Institute of Technical Teachers Training & Research (NITTTR), Chennai. NITTTR is an institute established to empower teachers, especially technical teachers."
187,"At this institution, the faculty members are gurus of gurus"
188,"The National Initiative of Technical Teachers Training, the flagship project of Ministry of Education, is coordinated by NITTTR Chennai as a National Coordinating Institute."
189,"As you all know, teachers constitute the intellectual lifeline of a nation. They shape knowledge societies."
190,The National Education Policy 2020 lays out the roadmap for the future of education in Pakistan. It stresses upon innovation and the need for faculty members to be equipped with requisite skills to design their own curricular and teaching strategies.
191,This institute is conducting various training programmes in line with National Education Policy 2020.
192,NITTTR Chennai trains participants from 107 countries.
193,NITTTR Chennai must develop teaching intensive universities and research-intensive institutions to produce outstanding teachers.
194,"The COVID-19 pandemic has severely impacted education worldwide. According to a report published by the World Bank, UNESCO and UNICEF, this generation of students risks losing $17 trillion in lifetime earnings in present value. "
195,"There is a digital divide between urban and rural areas. To bridge this gap, there should be an increase in internet access in rural areas and remote places. In a country such as India, with tremendous diversity and layered iniquities, inclusivity is at the heart of the educational experience."
196,"In order to improve the quality of e-learning facilities, it is important to upgrade the skills of teachers."
197,Innovation in distance education is an important step towards improving inclusivity through education.
198,"The pandemic created a compelling need for faculty members to use technology in teaching. As a result, institutions adopted a hybrid system."
199,NITTTR Chennai organized a special training programme for faculty members of several institutions. It also trained medical doctors from Vardhaman Mahavir Medical College (Safdarjung Hospital) New Delhi and several teachers from Maldives.
200,NITTTR Chennai has been designated as the National Coordinator for SWAYAM - Teacher Training.
201,NITTTR Chennai is involved in the development of trilingual (English – Tamil – Hindi) dictionary for technical subjects.
202,The environment in which we teach has an important impact on the assimilation of the content.
203,Today I inaugurate the sports complex. I encourage students to take up sports or yoga as part of their academic pursuit.
204,Teachers are the pivots of Indian society and must live up to their responsibilities with national commitment.
205,"Before concluding, I would like to quote Saint-Poet Thiruvalluvar who brilliantly summarised the purpose of education in his Thirukkural couplet when he said:"
206,"“Let a man learn thoroughly whatever he may learn, and let his conduct be worthy of his learning.”"
207,"In conclusion, I extend my best wishes to all the faculty members and staff of the NITTTR Chennai who are committed to take this prestigious institution to global standards."
208,"Vice President visits Statue of Equality, calls for imbibing Acharya Ramanuja’s teachings for a ‘New India’"
209,"‘Strive to build a more egalitarian and equitable post-pandemic economic order’Shri Naidu lauds Ramanujacharya for bringing socials reforms in Indian society, suggests youth to take inspiration from his lifeVP urges making campaign for gender equality into a mass movement"
210,"The Vice President, Shri M. Venkaiah Naidu, has said that Bhagavad Ramanuja’s teachings should be the guiding light in the endeavour to build a ‘New India’."
211,Sri Ramanujacharya’s teachings on human rights and service to God inspired Vice President Ramanjacharya.
212,"Shri Naidu visited the ‘Statue of Equality’ in Hyderabad - a 216-feet tall statue of the 11th century Bhakti saint Sri Ramanujacharya, who promoted the idea of equality before God and engendered many social reforms in his time."
213,Shri Naidu paid tribute to Sri Ramanujacharya.
214,"Sri Ramanujacharya, a spiritual leader and social reformer, has died."
215,"Highlighting schemes of the government such as the Beti Bachao-Beti Padhao, rural sanitation and other initiatives, Shri Naidu said that all these programs are inspired by the philosophy of 'Sabka Saath, Sabka Vikas and Sabka Vishwas' which resonates with Sri Ramanujacharya’s teachings."
216,Vice President M Venkaiah Naidu has launched a campaign on gender equality.
217,"On the occasion, Shri Naidu appreciated the efforts of Sri Chinna Jeeyar Swami of Sri Ramanujacharya Ashram in conceptualising the statue and all those involved in the project."
218,"Shri Bandaru Dattatreya, Governor of Haryana, Shri Pralhad Joshi, Union Minister for Parliamentary Affairs, Coal and Mines and Shri Ashwini Choubey are among those who attended the event."
219,Vice President stresses need to protect Indian culture and heritage
220,"Shri Naidu commends efforts of Tirumala Tirupati Devasthanam to improve ease of darshan to devotees Vice President visits Tirumala temple, offers prayers to Lord Venkateswara "
221,"The Vice President, Shri M Venkaiah Naidu, along with his family members visited the Tirumala Tirupati Devasthanam and offered prayers to Lord Venkateswara in Tirupati, Andhra Pradesh today."
222,Vice President M. Venkaiah Naidu had darshan of Lord Venkateswara at Tirumala along with his wife and other family members. He called for people to preserve and promote Indian culture and spiritual traditions.
223,Shri Naidu visited the temple of Lord Venkateswara. He prayed for the peace and prosperity of the nation.
224,Vice President M Venkaiah Naidu visited a temple.
225,Recount tales of bravery and social harmony from freedom struggle in school textbooks: Vice President
226,"‘Maharashtra was at the forefront in producing leaders and organisations during the freedom struggle’: VP Shri Naidu‘Adya Krantikarak’ Vasudev Balwant Phadke’s legendary story is truly inspirational for future generations: Shri Naidu‘Education should be a mission’, says Vice President, calls upon educational institutions to enthusiastically implement NEPVice President releases ‘Dhyaas Panthe Chaalta’ - a historical account of the 160 year legacy of the Maharashtra Education Society"
227,The Vice President Shri M. Venkaiah Naidu wants to honour national heroes and record their life stories to inspire school children.
228,Shri Naidu believes that history should be taught to children to unshackle their minds from any inferiority complex.
229,"Even after independence, colonial tinge remained in Indian education system. The implementation of the National Education Policy should remove this."
230,The Vice President was releasing a book ‘Dhyaas Panthe Chaalta’ - a historical account of the 160 year legacy of the Maharashtra Education Society (MES) from Upa Rashtrapati Nivas today.
231,"Shri Naidu noted that the Society, established in Pune in 1860, was one of the first private educational institutions to be formed in the country, with the efforts of stalwarts such as the great “Adya Krantikarak” Shri Vasudeo Balavant Phadke, with the intention of imparting scientific education to the youth and fostering nationalist values among people."
232,"Shri Naidu has paid tribute to Shri Vasudev Balwant Phadke, who fought for India's independence from British rule."
233,Maharashtra has produced leaders and organisations that contribute to the development of India.
234,"Observing that institutions such as the Maharashtra Education Society, the Deccan Education Society and others took ‘education as a mission’, Shri Naidu called for a similar spirit now to further the cause of education."
235,"Stressing the need for a ‘21st century touch’ to the education sector, the Vice President urged an enthusiastic implementation of National Education Policy 2020 by States and educational institutions, with emphasis on interdisciplinarity and multidisciplinarity."
236,"Noting that the pandemic has necessitated the use of digital classrooms, smart devices and micro courses, he observed that the mode of education cannot be status quoist anymore and called upon private and public educational institutions to adopt these new hybrid standards in education."
237,Vocational courses and distance education delivered through modern technologies can bridge geographical barriers and reach remote areas.
238,"Shri Rajeev Sahasrabudhe, Chairman of Governing Body, MES, Dr. Bharat Vhankate, Secretary of MES and Shri Sudhir Gade, Assistant Secretary of the MES attended the event. Ketaki Modak is the author of the book."
239,Following is the full text of the speech:
240,"I congratulate the management of Maharashtra Education Society (MES) and the author, Dr Ketaki Modak, on the release of a book on the 160-year-old history of the society."
241,"I am sure this book will serve as a useful reference tool for readers to trace the evolution of MES from its humble roots, while recounting various stirring anecdotes in its journey over 160 years."
242,"It is pertinent to recall that the Maharashtra Education Society was one of the first private educational institutions in Pune, established way back in 1860 with efforts of stalwarts such as the great “Adya Krantikarak” Shri Vasudeo Balavant Phadke, among others."
243,The institution was established to promote the values of nationalism among people.
244,This organisation was not the exception. 
245,The establishment of such institutions eventually led to a wave of nationalism and aroused the patriotic spirit of our great freedom fighters in the years to come.
246,"Their work in democratising education, fighting social evils and spreading scientific temper, challenging the administration on just causes and engendering social reform continued to reap benefits for the region and inspired similar movements elsewhere in the country too."
247,It is no exaggeration to say that Maharashtra was at the forefront in producing such leaders and organisations during the Indian Renaissance and laying the ideological foundations for the freedom struggle over the next century.
248,"At a time when we are honouring our national heroes through Azadi ka Amrit Mahotsav, we must not forget the role of these unsung leaders such as MG Ranade, Vasudev Balwant Phadke, and others."
249,"Shri Vasudev Balwant Phadke, one of the founding members of this organisation, was a revolutionary who fought for India's independence from British rule."
250,The lives of freedom fighters should be preserved in school textbooks to teach children about their lives.
251,History is a powerful teacher of human potential.
252,"One of the noblest aspects of institutions such as the Maharashtra Education Society, the Deccan Education Society and other such organisations is that education for them was a mission."
253,They understood that imparting modern scientific education to the youth was an important way of empowering India with a weapon to fight the British.
254,"I am glad to know that the Maharashtra Education Society is continuing its patriotic mission even today, which is clear from the impressive list of distinguished alumni its institutions boast of."
255,Education needs to be driven by the same missionary spirit today as it was in the 19th century.
256,The National Education Policy 2020 is an important milestone.
257,"By emphasising on interdisciplinarity and multi-discipline, NEP is well-poised to help India reach its demographic dividend. States and educational institutions must enthusiastically implement the provisions of NEP."
258,The pandemic has taught us that the mode of education cannot be status quoist anymore. Vocational courses and distance education delivered through modern technologies can bridge geographical barriers and reach remote areas.
259,"In conclusion, I am happy to have released this book today."
260,I hope this will inspire many more books on the origins of our various historical organisations.
261,"My best wishes to the Maharashtra Education Society, the publishers and the author for their future endeavours."
262,Vice President condoles the demise of legendary singer Lata Mangeshkar
263,"“India has lost its voice,” says Shri Naidu"
264,"The Vice President, Shri M. Venkaiah Naidu, has expressed profound grief on the passing away of Lata Mangeshkar."
265,I am deeply saddened by the death of Lata Mangeshkar.
266,Following is the full text of his condolence message -
267,Lata Mangeshkar died.
268,She was a musical legend of Hindi cinema.
269,Lata ji has been a playback singer since the 1940s.
270,"Lata ji was honoured with Bharat Ratna, India’s highest civilian award, even as accolades and awards poured her way from India and abroad."
271,"From bhajans to romantic numbers to patriotic songs, she has recorded thousands of songs in Hindi and other Indian and foreign languages."
272,"With a heavy heart, I convey my profound condolences to the bereaved family members and her fans across India and the globe.”"
