,content
107,PM shares instances of enthusiasm towards the Har Ghar Tiranga Movement
108,"The Prime Minister, Shri Narendra Modi has shared various instances of celebration of the Har Ghar Tiranga Movement from across the country."
109,This is a very special gesture.
110,The Tiranga soaring high! #HarGharTiranga https://t.co/ikakgzhLXQ
111,The Tiranga brings people together.
112,I salute these women for their passion and patriotic spirit.
113,Gujarat's Sardar Sarovar Dam enhances the #HarGharTiranga movement.
114,Jai Hind! #HarGharTiranga https://t.co/2aVXwXC506
115,Azadi Ka Amrit Mahotsav and HarGhar Tiranga are popular among Indian diaspora.
116,India's Yuva Shakti is at the forefront of Har Ghar Tiranga movement.
117,Deendayal Port supports Har Ghar Tiranga movement.
118,Remarkable! #HarGharTiranga https://t.co/wOA2c3gUfN
119,President of India Inaugurates the 2nd International Ambedkar Conclave
120,"The President of India, Shri Ram Nath Kovind, has inaugurated the 2nd International Ambedkar Conclave in New Delhi."
121,"Dr Ambedkar's long struggle for equality, constitutionalism and fraternity established him as a national icon."
122,President of India presents Standards to 118 Helicopter Unit and Colours to Air Defence College
123,"The President of India, Shri Ram Nath Kovind, presented Standards to 118 Helicopter Unit and Colours to Air Defence College in Guwahati, Assam today (November 29, 2018)."
124,"The President of India, Narendra Modi, said that the world looks at India differently today. He expects India to play a prominent role in shaping the global paradigm."
125,President of India Receives the First Copy of the book “Making of New India”
126,"The President of India, Shri Ram Nath Kovind, received the first copy of the book “Making of New India: Transformation under Modi Government” from Arun Jaitley."
127,The Presidents congratulated the government on its achievements. They stressed the importance of governance and the need for an all-inclusive approach to development.
128,The development journey of the country has not been solely driven by the government alone. The zeal with which ordinary citizens have participated in it has been heartening.
129,The President has appreciated the book “Making of New India” and its analysis and papers.
130,"This book, edited by Dr Bibek Debroy, Dr Anirban Ganguly and Shri Kishore Desai, contains 51 essays on themes ranging from economy to diplomacy, education to public health."
131,Click here for the President's speech
132,President of India to Present Standards to 118 Helicopter Unit and Colours to Air Defence College on November 29
133,"The President of India, Shri Ram Nath Kovind, will visit Assam on November 28 and 29, 2018. He will present standards to 118 Helicopter Unit and Colours to Air Defence College."
134,Foreign Minister of Maldives calls on the President
135,"Mr Abdulla Shahid, Minister of Foreign Affairs of the Republic of Maldives, called onthe President of India, Shri Ram Nath Kovind, at Rashtrapati Bhavan today (November 27, 2018)."
136,"Maldives President, Abdulla Ishaq, received Indian President, Pranab Mukherjee and his delegation."
137,The President of Maldives has launched a 100-day action plan aimed at transforming the lives of the people of the Maldives. India will support the government's efforts.
138,President of India Inaugurates Constitution day Celebrations; Says Idea of Social Justice has Expanded to Encompass Modern Civic Parameters like Pollution and Health
139,"The President of India, Shri Ram Nath Kovind, inaugurated theConstitution Day celebrations, organised by the Supreme Court,tomark the anniversary of the adoption of our Constitution on November 26, 1949,today (November 26, 2018) in New Delhi."
140,"The President of India, Pranabhata Bose, has read out the Constitution of India on the occasion."
141,The President praised Dr B. R. Ambedkar and his colleagues in the Constituent Assembly for their generous approach to amending the Constitution.
142,The President of India said that the people of India are custodians of the Constitution.
143,The President said that the most moving word in the Constitution is “justice”.
144,President Muhammadu Buhari has said that social justice remains a touchstone of nation building.
145,"The President of India, Narendra Modi, has said that in India the concept of social justice has expanded to include environmental and climate justice."
146,The President said that technology is an enhancer of justice as well as a challenge.
147,The President said that innovation has also worked for the benefit of disadvantaged sections of society.
148,The President said that innovation and technology bring gains but they also bring challenges.
149,Click here for the President's address.
150,President of India Delivers Lecture on “Australia and India as Knowledge Partners” at University of Melbourne; Calls for Enhanced Sci-Tech and Innovation Relations
151,"The President of India, Shri Ram Nath Kovind, has addressed students and members of academic community at the University of Melbourne."
152,The President of India is visiting Australia. The two countries announced a renewed commitment of Aus$1.5bn for research collaboration.
153,The President of India is in Melbourne. He is visiting the Indian community and the diaspora.
154,"The leader of the opposition in Australia, Bill Shorten, called on President Kovind to express support for good relations with India."
155,"There was a proposal for the President to visit the Melbourne Cricket Ground and meet the Indian and Australian cricket teams playing a T20 match, but it was called off due to bad weather conditions."
156,"Tomorrow (November 24, 2018) morning, the President will fly out of Australia and begin his journey home."
157,Address by the Hon’ble President of India Shri Ram Nath Kovind at the University of Melbourne on the Topic Australia and India as Knowledge Partners”
158,Address by the Hon’ble President of India Shri Ram Nath Kovind At the Luncheon Banquet Hosted by the Governor of Victoria 
159,President’s Message on the Eve of Martyrdom Day of Guru Teg Bahadur
160,"The President of India, Shri Ram Nath Kovind in his message on the eve of the martyrdom day of Guru Tegh Bahadur has said, “On the sacred occasion of the observation of the Martyrdom Day of Guru Teg Bahadur, I pay respectful homage to him."
161,Guru Teg Bahadur encouraged followers to follow his values.
162,President’s Greetings on the eve of Birthday of Guru Nanak
163,"The President of India, Shri Ram Nath Kovind has sent his greetings to fellow citizens on the eve of birthday of Guru Nanak Dev."
164,"In a message, the President has said, “Remembering the life and teachings of Guru Nanak Dev, I offer my greetings and good wishes on this sacred occasion to all my fellow citizens, including members of the Sikh community."
165,The life of Guru Nanak Dev teaches us love and harmony.
166,Guru Nanak Dev was a great believer in the teachings of the Sikh religion.
167,Let us resolve to follow the path shown by Guru Nanak Dev and work for the welfare of the society”.
168,Click here to read President's message in Hindi
169,Address by the Hon’ble President of India Shri Ram Nath Kovind at the Australian Financial Review India Business Summit
170,The President of India is in Sydney to address the Australian Financial Review India Business Summit.
171,I am in India for a visit. I met with Prime Minister Scott Morrison this morning. Prime Minister Morrison is a great fan of Indian food.
172,"Australia and India are united by a history of shared sacrifice on the beaches of Gallipoli, a shared vision for the peace and prosperity of a free, open and rules-based Indo-Pacific Region, an instinct for entrepreneurship, an eco-friendly and environmentally sustainable planet and a shared passion for cricket."
173,"In our conversation, Australia and India discuss the positive impact of globalisation."
174,India is engaged in a huge infrastructure development drive.
175,"India's growth is different from other countries as it seeks to make the leap into industrialisation while also combating climate change. India has set itself a target to generate 175 gigawatts of renewable energy by 2022, of which 100 gigawatts will be solar energy."
176,Fiscal and regulatory processes have also been significantly revamped in India. Goods and Services Tax has brought the 29 states on a common tax platform. India has moved up from 142 to 77 on the World Bank Ease of Doing Business Index.
177,"All of the measures put in place by the Indian government are aimed at promoting India as a hub for new, exciting and global businesses."
178,The international business community has responded to India's achievements with appreciable investment worth US$ 62 billion in financial year 2017-18.
179,An underlying theme of economic and social transformation in India is the role of technology and innovation. Indian IT companies have invested heavily in Australia.
180,There is a gap between the investment story of India and that of Australia.
181,The Indian market offers Australian companies and investors a huge consumer base and the prospect of considerable returns. Australian super-funds or pension funds should consider investing in Indian infrastructure.
182,India and Australia will work towards the conclusion of the Regional Comprehensive Economic Partnership (RCEP) by 2019.
183,"In many ways, society is already ahead of governments. The Indian community in Australia is adding value to the economy. Indian diaspora contribute to local business ecosystems and open job and innovation avenues for its host country."
184,Cricket is a metaphor for life and business. Australian businesspersons and investors looking to India should borrow from the methods of cricketers.
185,The Prime Minister wishes everyone a nice evening.
186,Address by the Hon’ble President of India Shri Ram Nath Kovind At the luncheon banquet hosted by The governor General of Australia
187,"I thank you, Your Excellency, for your gracious words of welcome and warm hospitality."
188,I am paying the first Presidential visit from India to Australia.
189,The strategic partnership and common geopolitical understanding between the US and Russia have enhanced the bilateral engagement.
190,The first settlers came from India in the 18th Century. Four of the first five Governors of this province had spent a substantial part of their careers in India.
191,The leaders of the United States and Pakistan are celebrating their 70th anniversary today.
192,"Excellency, in the past we have fought together for freedom and liberty, and today we are harnessing energies to make the planet sustainable and secure. We are proud of our partnership with Australia."
193,Address by the Hon’ble President of India Shri Ram Nath Kovind On the occasion of unveiling of theStatue of Mahatma Gandhi 
194,I am visiting Paramatta to unveil a statue of Mahatma Gandhi.
195,The Government of India launched a two-year long series of events on the occasion of his 150th birth anniversary.
196,"Mahatma Gandhi's teachings have a special resonance in the world. His favourite bhajan is ""Vaishnava Jan To Tene Kahiye"" by Heather Lee."
197,Mahatma Gandhi's ideas and values resonate in Australia. There is a special connect between Gandhian thought and Australian way of life.
198,Mahatma Gandhi's legacy is relevant to Australian society and values.
199,The statue to be unveiled today in Paramatta symbolizes the historic bond that links Australia and the United States.
200,"On this special occasion, I am gratified to see Indian diaspora members. Gandhiji himself was an expatriate for 21 years before he returned to India."
201,Indian Diaspora members contribute a lot to the development of their country.
202,May we all resolve today to draw inspiration from the life and teachings of Mahatma Gandhi and work for the lasting benefit of humanity? I once again thank the Lord Mayor for making this event a success and all those who have contributed to this wonderful initiative.
203,Address by the Hon’ble President of India Shri Ram Nath Kovind at the Australia-India Business Council Event 
204,I am happy to address the annual Australia-India Business Council event.
205,India and Australia are close friends. They share values and commonalities.
206,"In recent years, India and Australia have stepped up their Strategic Partnership deepening their engagement in defence, security, technology, people-to-people ties. They have matching energy and heightened policy focus on their trade and investment relations. The ""India Economic Strategy"" report has promising ideas and prospects. The response of the Australian government is most encouraging."
207,"India and Australia share strong economic complementarities. Their bilateral trade has grown by 75% in the last five years. Their mutual investment in education, professional services and tourism has also increased. India remains committed to take the proposed Comprehensive Economic Cooperation Agreement forward."
208,The two-way cumulative investment stands at 30 billion Australian dollars.
209,Australian pension funds and innovative products are a natural fit for Indian growth and development. 
210,The prospect to work together and transact gets even more attractive in the backdrop of the transformational economic changes happening in India.
211,"In his speech, Prime Minister Narendra Modi touts India's economic reforms."
212,"Indian infrastructure sector is booming. They built 10,000 km of expressways last year and are planning to build 100 Smart Cities, 7 high speed train corridors and 10 greenfield airports. Australian super funds with considerable investible surplus and its resource sector can invest in Indian infrastructure projects. Similar business opportunities exist in the Indian agriculture and food processing sectors."
213,"In the energy field, we are adding new capacity in nuclear, renewable and conventional segments. We have a target to achieve 175 gigawatts of renewable energy by 2022."
214,"The Australian government is keen to invest in India's Make in India, Digital India and Clean India programmes."
215,"There is a world of opportunities waiting for you in India. I like your cultural expression - ""mate"" and ""mateship"". I hope to see more mates and mateship between the business communities of Australia and India. "
216,President of India Holds Talks with Australian Governor-General and Prime Minister; Addresses Australian Financial Review Summit; Unveils Statue of Mahatma Gandhi in Sydney
217,"The President of India, Shri Ram Nath Kovind, is in Sydney, Australia. He held talks with the Governor-General and Prime Minister. He was given a ceremonial reception and hosted a luncheon banquet. He delivered two speeches at the Australia-India Business Council dinner."
218,"As part of President Kovind's visit to Australia, five agreements have been concluded between India and Australia."
219,An agreement between the Government of India and the Government of Australia for cooperation in the area of disability and to deliver services to the differently-abled
220,An agreement between Invest India and Austrade to facilitate bilateral investment
221,"An agreement between the Central Mine Planning and Design Institute, based in Ranchi, and the Commonwealth Scientific and Research Organisation, based in Canberra, to foster scientific collaboration and innovation"
222,"An agreement has been signed between the Acharya N.G. Ranga Agricultural University, Guntur, and the University of Western Australia, Perth for cooperation in agricultural research and education."
223,"A Joint PhD agreement between the Indraprashta Institute of Information Technology, Delhi, and the Queensland University of Technology, Brisbane"
224,President Kovind and Prime Minister Morrison met today to discuss a range of issues related to trade and investment.
225,"In the morning, President Kovind spoke at the Australia Financial Review India Business Summit. He said that India is open to foreign capital and international investors."
226,"The President of India, Narendra Modi, said that the international business community has responded to India's achievements with appreciable investment. India drew almost US$ 62 billion in FDI in financial year 2017-18."
227,The President of Australia wants to increase the level of investment in Australia by India.
228,Australian super-funds or pension funds will invest in Indian infrastructure.
229,"The President of Australia, Steve WIlliamson, has praised the methods of successful Australian cricketers."
230,The President of Australia praised the Australia-India Business Council as a key driver of Australia- India business and investment.
231,President of India in Australia; Addresses Indian Community in Sydney; Pays Respects at Anzac War Memorial
232,"The President of India, Shri Ram Nath Kovind, reached Sydney, Australia today. He is on a two-nation state visit to Vietnam and Australia."
233,The President of Australia congratulated the Indian community on their achievements.
234,"The President of Australia, Malcolm Turnbull, has congratulated Indian students on their hard work and talent."
235,President Kovind has paid tribute to Indian soldiers who fought alongside their Australian counterparts in World War I.
236,Address by the Hon’ble President of India Shri Ram Nath Kovind at the Indian Community Reception 
237,This is my first State Visit to Australia.
238,"In my visits abroad, I always try to meet with the Indian Diaspora as the first element of my program."
239,I began my programme today with a visit to ANZAC war memorial.
240,Tomorrow I will unveil a statue of Mahatma Gandhi in Parramatta. I will hold talks with the Governor General and Prime Minister to discuss how to enhance bilateral ties.
241,People from all over Australia came to greet me on the occasion of my arrival.
242,"Indian community in Australia has a long history. The first batch of Indians came here over hundred years ago. In the early 20th century, Indians arrived in Australia to work in banana plantations and in goldmining. A number of them were Sikh brothers who settled in Woolgoolga and later moved elsewhere."
243,It was a great pleasure to see the community celebrating its culture and traditions. The community has embraced local Australians in warmth and affection. They celebrate festivals and fairs with much enthusiasm and pride.
244,"The Indian community in Australia is highly respected. Indian skills and professionals are sought after here and elsewhere in the world. Australia is also home to a large number of Indian students excelling on campus in studies, research, innovation and sports. I will be speaking on this theme at Melbourne University day after tomorrow."
245,"For many of you, Australia is your new home. Others, it is their karmabhoomi. You have made significant contribution to the well-being of this country."
246,"After a gap of a few years, one can visit India."
247,"In his speech, Prime Minister Narendra Modi says that India is the fastest growing major economy in the world. His country has received over US$ 200 billion as Foreign Direct Investment."
248,"Riding on high growth and transformative socio-economic changes, the youth in India are brimming with ideas and energy. Their enterprise and innovation has made India into the third largest Start-up ecosystem in the world."
249,"India invites Australia to join them in their transformational journey. Australia is keen to leverage its technology, knowhow and investment for growth and development in India."
250,"In the last few years, you would have seen a sea-change in the way the Indian Government is engaging and reaching out to the Diaspora. It has started schemes such as the “Know India Programme” to better connect with the Indian community abroad. The Embassies are available round the clock to help people in need. In the last four years, they rescued over 90,000 Indians."
251,"The Indian Diaspora is an important partner in strengthening India's international outreach. Next year, the Pravasi Bharatiya Divas will be celebrated from 21st to 23rd January in Varanasi. "
252,"During his State Visit to Australia, Prime Minister Narendra Modi will drop by at the MCG on November 23 to wish both the Indian and Australian cricket teams. He invites them to Rashtrapati Bhavan."
253,"The President of India, Shri Ram Nath Kovind in his message on the eve of Milad-un-Nabi has said: -"
254,"“On the auspicious occasion of Milad-un-Nabi, the birthday of the Prophet, I extend my good wishes to all fellow citizens, especially to my Muslim brothers and sisters”."
255,Address by the President of India Shri Ram Nath Kovind at the National Assembly of Vietnam
256,It is an honour for me to address the National Assembly of Vietnam.
257,The President of India is on a state visit to Vietnam. This is his first state visit outside India.
258,"Vietnam and India have a close strategic partnership. President Pranab Mukherjee came to Vietnam four years ago and Prime Minister Narendra Modi came two years later. In 2018, I had the opportunity to welcome Prime Minister Nguyen Xuan to my Republic Day celebrations. In March, I hosted the late President Tran Dai Quang."
259,Vietnam's President Nguyen Phu Trong has been elected by the Party and the National Assembly.
260,"India and Vietnam are both ancient maritime nations. They have robust business, political and people-to-people bonds. They exchange parliamentary visits. They share the same values."
261,"In 2019, India marks the 150th birth anniversary of Mahatma Gandhi and Vietnam marks the 50th anniversary of the passing of Ho Chi Minh."
262,"The values of liberty, freedom and integrity that Gandhiji and Ho Chi Minh espoused are rooted in their shared history. Buddhist monks and nuns travelled far and wide, carrying with them the cargo of compassion, and also showing the way to traders and businesspersons. Buddhism created an early form of globalisation."
263,The Archaeological Survey of India is helping Vietnam restore some of its cultural landmarks.
264,They were pioneers of modern travellers and pilgrims.
265,The historical values and lessons I referred to have shaped India’s approach to socio-economic development. India is on course to eliminate extreme poverty by 2030. Vietnam is also appreciative of the rapid progress made in recent years.
266,"In his speech, Prime Minister Narendra Modi talked about the technological revolution in India."
267,"Vietnam should join the International Solar Alliance, which promotes renewable energy."
268,"Climate change is not the only question mark looming before the Indo-Pacific Region. Vietnam and India share a vision for the region, of which the South China Sea is a critical part. "
269,"In this context, India looks forward to enhanced bilateral cooperation in the maritime domain. The first Bilateral Maritime Security Dialogue will be held in Vietnam in early 2019. India and Vietnam will also arrange regular visits by naval and coast guard ships to each other's ports."
270,Vietnam will take over the ASEAN Chair in 2020. India has consistently supported ASEan’s unity and centrality and its regional security and economic architecture.
271,India and Vietnam are committed to strengthening their strategic partnership.
272,Vietnam and India have close economic and political ties. Bilateral trade touched US$ 12.8 billion in the past year. India is Vietnam's top trading partner. A high-level business delegation is accompanying me. Yesterday I addressed the Vietnam-India Business Forum.
273,There is great potential for co-operation and complementarities between Vietnam and India.
274,Vietnam and India have a long-standing people-to-people relationship.
275,"With those words, I conclude my address."
276,Media statement by the President of India on his visit to Vietnam
277,"At the outset, I express my profound gratitude to Your Excellency for the gracious warmth and welcome extended to me and my delegation."
278,This is my first visit to South-East Asia and to the ASEAN region as the President of India. This visit comes 60 years after the 11-day state visit of Ho Chi Minh to India.
279,"I am glad that my first visit in the ASEAN region has been to Vietnam, a strategic pillar of India’s Act East Policy, and our key interlocutor in ASEAN."
280,India and Vietnam are Comprehensive Strategic Partners.
281,I began my official engagement in this historic city with my address to the National Assembly.
282,My talks with President Phu Trong were extensive and productive.
283,They have signed three MOUs aimed at strengthening their bilateral cooperation.
284,India and Vietnam committed to deepen their defence and security cooperation.
285,The leaders of Pakistan and the United States condemned terrorism and agreed to strengthen global fight against it. They also agreed to begin dialogue on strengthening maritime security cooperation.
286,I attended the Vietnam-India Business Forum in Hanoi yesterday. India and Vietnam aim to double their bilateral trade to US$ 15 billion by 2020.
287,I am on a state visit to Vietnam. I visited the Cham temples. Archaeological Survey of India is restoring three temple groups at the World Heritage Site of My Son.
288,India and Vietnam have been trading with each other for centuries.
289,Vietnam is a beautiful country.
290,President of India addresses National Assembly of Vietnam; leads delegation-level talks; says Vietnam is pivotal to India’s “Act East” policy
291,"The President of India, Shri Ram Nath Kovind, addressed the National Assembly of Vietnam today. He also held bilateral meetings with the President of Vietnam. The two countries signed four agreements."
292,An agreement between the Ministry of Information and Communications of Vietnam and the Ministry of Communications of India
293,"An agreement of cooperation between the Department of Foreign Affairs of Provinces, Ministry of Foreign Affairs, Vietnam, and the Indian Business Chamber in Vietnam"
294,"An academic agreement between the Ho Chi Minh National Academy of Politics, Hanoi, and the Jawaharlal Nehru University, New Delhi"
295,An agreement between the Confederation of Indian Industry and the Vietnam Chamber of Commerce and Industry
296,"Vietnam is the first ASEAN and Southeast Asian country President Kovind is visiting in his capacity as President of India. India and Vietnam have strong business, political and people-to-people bonds."
297,The President of India has said that India offers a cooperation model that does not require its friends to make choices and expands opportunities for all.
298,"Vietnam and India share a vision for the Indo-Pacific Region, of which the South China Sea is a critical component."
