,content
145,India has 24.7 million children born every year. Children aged 0-6 years accounted for 13.12% of the population in 2011.
146,The childhood is a crucial period for health and development.
147,"According to UNICEF, nearly 43 per cent of children below five years in low and middle income countries are not getting the nutrition, protection and the stimulation they need."
148,"A recent report unveiled by the UN Inter-agency Group for Child Mortality Estimation, said that India has improved its infant and neonatal medical care.."
149,"In 2017, infant mortality rate in India was 32 deaths per 1,000 live births, compared to the global average of 12."
150,"India has to step up the efforts in a concerted manner to meet the Sustainable Developmental Goals (SDGs).The major causes of child mortality in India include prematurity and low birth weight, pneumonia and diarrheal diseases, among others."
151,"According to the 2018 Pneumonia & diarrhoea Progress Report, released on November 12, 2018, in 2016 alone almost 261,000 Indian children died before their fifth birthday due to diarrhoea or pneumonia, both preventable diseases."
152,I am aware of the efforts of the governments at Centre and States to improve the health parameters and further reduce the mortality rates.
153,"Much more needs to be done in improving the preventive and treatment interventions for newborns and those below five years to achieve the UN’s Sustainable Development Goal target of reducing under-five mortality to 25 per 1,000 live births by 2030."
154,It is indeed a tough task and not impossible to achieve. Public and Private sectors need to work together to improve healthcare system in the country.
155,"The private sector should partner with the government in making healthcare affordable and accessible to the common man, particularly in the rural and remote parts of the country."
156,India must move from disease treatment to health promotion paradigm to achieve universal health coverage.
157,Strengthening the Primary Health Care and providing adequate training to ASHA workers are vital in improving health coverage.
158,It must be noted that building a robust primary health-care system is extremely important to realize UN’s Sustainable Development Goals.
159,"The Government's announcement of Ayushman Bharat -National Health Protection Scheme to provide medical insurance to 10 crore poor and needy families and the proposal to establish 1.5 lakh Health and Wellness Centres across the country to provide comprehensive healthcare, including maternal and child health services are expected to improve outcomes."
160,There is a need to vastly expand the health insurance coverage of the population in the country.
161,"In the view of the huge challenge of meeting the basic healthcare needs of mothers and children, India needs many more specialized, pediatric care doctors and nursing professionals."
162,"While there is a need for setting up more specialized children’s hospitals, the private sector must ensure that the treatment provided by them is not only accessible but also affordable."
163,"In his message to the new Rainbow Children’s Hospital, PM Narendra Modi wishes all infants survive, thrive and grow up to healthy active citizens of the New India."
164,English rendering of PM’s address at function to mark 75th anniversary of Hoisting of Tricolour on Indian soil by Netaji
165,On this day Netaji visited this place. I urge all of you to take out your mobile phones and commemorate him.
166,"All the dignitaries present on stage, the family members of Subhas Babu who have specially come here today and my dear brothers and sisters who have gathered here in large numbers."
167,I salute the land that had been purified by the sacrifice and heroism of innumerable patriots who had put their lives at stake for freedom. Andaman and Nicobar group of islands is a symbol of our struggle for freedom and of the heroism and resolutions of each and every Indian.
168,Andaman and Nicobar Islands are being given various development projects worth crores of rupees.
169,I visited the Cellular jail and the place where Netaji Subhas Chandra Bose unfurled the flag while declaring the country's independence 75 years ago.
170,A completely different feeling fills the mind when entering the campus of the Cellular jail.
171,"The cells where Veer Savarkar, Baba Bhan Singh, Mahavir Singh, Indradhanush Ray, Prithvi Singh Azad, Trilokya Nath Chakraborty and Bhai Parmanand spent their lives fighting for freedom are glorified in the Cellular jail."
172,"When it comes to the heroes of freedom, Subhas Chandra Bose stands out."
173,"Today 75 years have passed since the historic event of 30 December 1943. In the memory of that event, we are hoisting a 150 feet high flag to etch a piece of history in memory of our citizens for eternity."
174,"The Ross Island will be named after Netaji Subhas Chandra Bose. The Neil Island will become Netaji Shaheed Island, and the Havelock Island - Swaraj Island - after the government's decision."
175,Netaji had declared India free from British rule on the land of the group of islands. He had addressed a public gathering in this very ground.
176,"If doubts and questions were ever raised regarding India's unity during the long period of colonial rule, they were a question of mindset not values. Subhas Babu and Netaji stressed upon the fact that we all were one nation since the ancient times."
177,People talk about mainland and island during discussions.
178,Port Blair is an important part of India's Mainland. The government is focusing on connectivity in those areas.
179,The feeling of integration strengthens when we commemorate our heroes from the past.
180,"The Central Government is trying to revive every small part of its history for the last four and a half years. History is the day gone by as well as the realization of tomorrow. History enshrines courage, might and pain and is an inspiration for the courage and might. History forewarns and teaches us to stay alert."
181,History is tied in time and energy for a new resolution. History gives us the courage to have new hopes and new dreams and also gives us courage to dedicate ourselves to the future.
182,The government has completed the Police Memorial and built the Statue of Unity.
183,Netaji Subhas Chandra Bose University will be established today.
184,"The main element in the building of a New India is development. When it comes to the development of the resources, industrial development is an important dimension."
185,The government is committed to industrial development that is conducive for the conditions and environment of this region.
186,The government has come up with a major scheme for industrial development in this area. It is called the Lakshadweep and Andaman and Nicobar Island Industrial Development Scheme. It will provide financial assistance and concessions to entrepreneurs who set up eco-friendly industries.
187,There are many projects aimed at developing tourism infrastructure in the area. A policy book for startups has been released.
188,"This year four ships have been included in the transport sector of this place to strengthen its connectivity. Under the Make in India programme, 4 ships are being built in Kochi Shipyard. Port Blair's Dock Yard is being expanded."
189,"I was told that it used to take a long time to travel from Chatham to Bombooflat, but now it takes less time because of the construction of a bridge. In the meeting that was held today with the local representatives, the issue of roads was also raised. I urge the Lieutenant Governor to assess and review the condition of roads in rural areas and send a report to the Central Government within two weeks."
190,The new integrated terminal building is being built at Veer Savarkar International Airport. Chartered flights from Port Blair to Chennai and Kolkata will be made available soon.
191,The under-sea Optical Fibre coming from Chennai will provide a good quality internet connection to Port Blair.
192,"The State Wide Area Network (SWAN) has been started today. In the first phase, 12 locations of the major islands will be connected to high speed internet."
193,The government is providing financial assistance of Rs.200 crores for setting up of fish landing centres and other development projects.
194,Today crucial projects have been launched and foundation stones laid to fulfil the needs of electricity and water supply. The height of Dhanikari dam is being increased so that Port Blair and nearby areas do not face water problems for at least the next 20 years.
195,The foundation stone has been laid today for the LNG power plant.
196,Port Blair is playing an important role in the direction of the waste to energy programme. A new Plasma Gas Plant will be set up here.
197,The people of this island have declared the group as Open Defecation Free.
198,"The Andaman and Nicobar Island Institute of Medical Sciences started two years ago in Port Blair. Since then, thousands of poor and retired people have got their treatment under the government's health insurance scheme and the Ayushman Bharat Yojana. Free treatment of up to Rs.5 Lakhs for serious ailments is available here."
199,The expansion of health services here will include upgrading two PHCs and CHCs and laying of foundation stone of an AYUSH hospital.
200,The government is focusing on education besides healthcare. Netaji Subhas Chandra Bose Deemed University and Polytechnic College have been established recently.
201,The government has been working hard for 5 streams of development throughout the country. All the schemes launched and foundation stones laid today are associated with the same idea.
202,"Moreover, we are also committed to ensure that our glorious history, culture and our heroes receive the honour for their valour and sacrifices."
203,"Once again, I congratulate all my dear brothers and sisters for this historic occasion and for the projects that aim at making your lives better."
204,"Tomorrow is the last day of the year 2018. The New Year 2019 begins. I wish that may the New Year bring new enthusiasm, zeal and energy to the people of Andaman and Nicobar, Lakshadweep islands and the whole country."
205,The place where Subhas Babu laid the foundation stone of Swaraj is celebrating 75th anniversary.
206,"Visits Cellular Jail in Port BlairHoists high mast flag, pays floral tribute to Netaji Subhas Chandra BoseAttends function to mark 75th anniversary of Hoisting of Tricolour on Indian soil by Netaji"
207,"The Prime Minister, Shri Narendra Modi, visited Port Blair in the Andaman and Nicobar Islands today."
208,"In Port Blair, he laid a wreath at the Martyrs Column and visited the Cellular Jail. He hoisted a high mast flag and offered floral tributes at the Statue of Netaji Subhas Chandra Bose."
209,"At a public event to mark the 75th anniversary of the hoisting of Tricolour on Indian soil by Netaji Subhas Chandra Bose, the Prime Minister released a commemorative postal stamp, coin, and First Day Cover."
210,"He also unveiled a series of development projects related to the energy, connectivity and health sectors."
211,"Andaman and Nicobar Islands remind us of the collective resolve of our freedom fighters, Prime Minister Narendra Modi said."
212,He said the Union Government is committed to empowering and developing the islands. 
213,"He visited the Cellular Jail, where Netaji Subhas Chandra Bose hoisted the tricolour 75 years ago."
214,The flag on the 150ft high mast is an attempt to preserve the memory of Netaji Subhas Chandra Bose who unfurled the tricolour in 1943.
215,"On this occasion, he announced that Ross Island would now be named Netaji Subhas Chandra Bose Dweep; Neil Island would be known as Shaheed Dweep; and Havelock Island would be renamed as Swaraj Dweep."
216,"The Prime Minister said that today, Indians are working towards creating a strong India, in line with Netaji's vision."
217,The Prime Minister said that remembering and honouring our heroes helps strengthen our feeling of integration.
218,"The Prime Minister said that the New India that is being built with the inspiration of these great leaders, has development at its core."
219,The environment minister has said the government is committed to developing the Islands in accordance with the requirements of the environment.
220,"The Prime Minister wants Andaman and Nicobar Islands to be self-sufficient. He wants a report on the condition of rural roads in the Islands within two weeks. Once the report is examined, the Union Government will give whatever assistance is needed."
221,The Prime Minister has announced a number of development works.
222,English rendering of PM’s speech at a public meeting at Car Nicobar
223,All the dignitaries present on the stage and my dear brothers and sisters of Car Nicobar.
224,Mother Ganga visited Mother Bharti in Varanasi yesterday and today she is with you all in the lap of the vast sea.
225,"Today, as soon as I landed here, I saluted all our ancestors from various islands including Car Nicobar who had sacrificed their lives for freedom and development of this place."
226,The dance performance by the children shows that India has rich cultural heritage.
227,The way you have preserved the tradition of joint family system is a great strength for Indian way of living.
228,Just a few moments ago I visited the Tsunami Memorial and the Wall of lost souls. 
229,Today various projects have been launched or their foundation stones laid in Car Nicobar. They are part of the overall development agenda of the government.
230,My government is working towards bridging the gaps in parts of the country and promoting co-existence.
231,The projects that were either launched or their foundation stones laid just a few moments back include a project on sea wall. It will cost about Rs.50 crores and will be a protective shield for Car Nicobar.
232,Car Nicobar is an important development hub for Car Nicobar. The setting up of Industrial Training Institute in Arong village will benefit the young people of CarNicobar.
233,Car Nicobar is famous for its sporting talent. Its junior football team has won the Subroto Mukherjee cup four times.
234,The sports complex that has been set up in Lapati village is dedicated to you for nurturing the talent here.
235,"Car Nicobar has produced several talented players for the country in sports like cycling, kayaking, rowing and football. The foundation stone has been laid today for a sports complex."
236,The central government is committed to provide better facilities to the people of Andaman and Nicobar.
237,The central government is trying to develop these areas according to its needs and circumstances. The government has taken several decisions keeping this spirit in mind.
238,The MSP of Copra and Ball Copra has been increased. Several farmers associated with Copra farming will benefit from this increase.
239,"The state government is engaged in the work of empowering fishermen. Recently, a special fund of Rs. 7000 crores has been created to make fishery a profitable occupation in our country."
240,The government is promoting coastal development in accordance with the 'Blue Revolution' initiative.
241,"In order to preserve the environment of Car Nicobar, the prospects of cultivating and using solar power here are being assessed and groomed. India is committed to providing affordable and green energy to the country with solar energy. "
242,The government has launched a scheme to develop solar energy in coastal areas of India.
243,Car Nicobar is a major shipping channel between the Indian Ocean and the Pacific Ocean. The modes of transportation are being developed to ease congestion and increase cargo shipping.
244,The foundation stone has been laid today. Trans-shipment Port will create opportunities for new enterprises in the southern part of the Gulf.
245,"The government of India has launched the Sagarmala scheme. Under this scheme, hundreds of projects are under construction at a cost of about Rs.2.5 lacs crores. 14 Coastal Employment Zones will be developed around the coastal areas of the country in the near future."
246,The decision to extend Campbell Bay jetty to 150 metres and increase the depth of Mus Jetty is part of the Sagarmala scheme.
247,The government is working towards improving the air connectivity to this region.
248,I express my gratitude to the Tribal Council.
249,The government is committed to the development of Car Nicobar and will continue with fresh zeal and enthusiasm in the coming New Year.
250,"In the end, once again I congratulate you all for the various development projects."
251,Interacts with Tribal ChiefsInaugurates ITI and Modern Sports Complex
252,"The Prime Minister, Shri Narendra Modi, visited Car Nicobar today."
253,"He laid a wreath at the Tsunami Memorial, and lit a candle at the Wall of Lost Souls."
254,He met with Tribal Chiefs and eminent sportspersons from the islands.
255,He inaugurated the ITI at Arong and a Modern Sports Complex.
256,He laid the Foundation Stone for Shore Protection Work near Mus Jetty and Extension of Campbell Bay Jetty.
257,"The Prime Minister spoke of the great natural beauty, culture, tradition and art of the Islands."
258,The Prime Minister visited the Wall of Lost Souls at the Nicobar Islands tsunami memorial before arriving for the function.
259,He unveiled a number of projects today.
260,The Prime Minister wants to reduce distances and develop a sense of closeness in hearts.
261,The work for the sea wall will help protect the island of Car Nicobar. The Prime Minister said the ITI will help empower the youth of the island with skills.
262,"The Prime Minister of Andaman and Nicobar Islands, Narendra Modi, has said that the Union Government is working towards improving ease of living for the people of the Islands. He spoke of the expansion of healthcare facilities."
263,The Prime Minister said that the effort is to undertake development work while preserving the environment and local culture.
264,The Prime Minister talked about the increase in support price of Copra. He said the government is working towards empowering those engaged in the fisheries sector. A sum of Rs. 7000 crore has been approved for this purpose. The areas of the country that are near the sea can become centres of the blue revolution. The Prime Minister mentioned the International Solar Alliance and efforts to harness solar energy.
265,The Prime Minister said the Nicobar Islands and the nearby Malacca Strait are important for both resources and security. Transportation infrastructure is being developed.
266,The Prime Minister is committed to the development of the Islands.
267,English rendering of PM’s address in 51st episode of Mann Ki Baat on 30.12.2018
268,"In our series of letters, Namaskar asks for New Year's resolutions for the countrymen, they should aim to improve their lives and contribute to society."
269,The year 2018 saw the launching of the world’s biggest health insurance scheme ‘Ayushman Bharat’. Electricity reached each and every village of the country this year. Swachhata has reached 95%.
270,"After Independence, the tricolor was hoisted at Red Fort on the 75th anniversary of the formation of the Azad Hind Government. The highest United Nations Environment Award ‘Champions of the Earth’ was awarded to India. The first General Assembly of the International Solar Alliance was held in India."
271,"This December we had to bear the loss of some extraordinary, exemplary countrymen. Dr. MakkalMaaruthuvar Jayachandran passed away in Chennai on the 19th of December. He was known for his efforts to make the most economical treatment available to the poor."
272,"On 25th of December, I learnt of the loss of SulagittiNarsamma, a midwife in Karnataka. SulagitiNaramsamma was a revered midwife, who dedicated her life to the welfare of all in society."
273,"""Mahayagya"" is a grand undertaking involving the whole community of Jabalpur."
274,"By spreading positive messages, I hope to spread awareness about the good work being done around us and our society."
